commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-01-01,220.84,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-02-01,221.17,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-03-01,202.57,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-04-01,190.95,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-05-01,176.6,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-06-01,176.67,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-07-01,170.37,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-08-01,170.03,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-09-01,162.32,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-10-01,172.53,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-11-01,169.94,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2000-12-01,169.57,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-01-01,169.37,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-02-01,170.09,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-03-01,159.43,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-04-01,147.82,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-05-01,148.5,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-06-01,153.6,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-07-01,155.11,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-08-01,155.13,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-09-01,160.28,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-10-01,157.23,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-11-01,160.91,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2001-12-01,165.44,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-01-01,178.39,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-02-01,182.84,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-03-01,176.24,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-04-01,178.12,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-05-01,187.82,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-06-01,189.71,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-07-01,184.11,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-08-01,176.82,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-09-01,173.03,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-10-01,172.18,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-11-01,173.56,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2002-12-01,173.38,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-01-01,185.87,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-02-01,186.19,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-03-01,183.01,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-04-01,182.73,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-05-01,186.34,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-06-01,191.12,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-07-01,185.49,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-08-01,179.56,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-09-01,182.59,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-10-01,181.71,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-11-01,179.22,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
Rice (5% broken),Thailand,Bangkok,WHOLESALE,2003-12-01,184.64,tonne,068d4d66-92c8-4fcc-9e65-164e7ad78886
