commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2022-08-01,0.79,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2022-08-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2022-08-01,0.8,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2022-09-01,0.79,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2022-09-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2022-09-01,0.81,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2022-10-01,0.87,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2022-10-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2022-10-01,0.81,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2022-11-01,0.77,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2022-11-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2022-11-01,0.81,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2022-12-01,0.8,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2022-12-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2022-12-01,0.8,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-01-01,0.9,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2023-01-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2023-01-01,0.81,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-02-01,0.8,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2023-02-01,0.75,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2023-02-01,0.92,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-03-01,0.81,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2023-03-01,0.81,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2023-03-01,0.97,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-04-01,0.82,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2023-04-01,0.81,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2023-04-01,0.95,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-05-01,0.82,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2023-05-01,0.81,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2023-05-01,0.95,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-06-01,0.83,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,2023-06-01,0.82,Kg,76832d0a-4235-4a42-91fa-6d9d174aa122
"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,2023-06-01,0.96,Kg,1dbce60c-11a9-4bac-9738-5da545b72266
"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,2023-07-01,0.81,Kg,4f42d25e-3662-40fb-ad6c-0ee541fcc8c2
