commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-01-01,0.25,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-02-01,0.25,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-03-01,0.29,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-04-01,0.36,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-05-01,0.35,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-06-01,0.27,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-07-01,0.3,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-08-01,0.23,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-09-01,0.28,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-10-01,0.23,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-11-01,0.24,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2008-12-01,0.2,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-01-01,0.21,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-02-01,0.23,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-03-01,0.27,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-04-01,0.26,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-05-01,0.35,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-06-01,0.34,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-07-01,0.33,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-08-01,0.31,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-09-01,0.32,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-10-01,0.35,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-11-01,0.34,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2009-12-01,0.3,Kg,e373df93-1f72-4d17-9791-5f4469a03328
Rice (low quality),Myanmar,Taunggyi,RETAIL,2010-01-01,0.49,Kg,e373df93-1f72-4d17-9791-5f4469a03328
