commodity_name,country,market,price_type,date,price_usd,unit,uuid
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-01-01,0.42,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-01-01,0.47,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-01-01,0.52,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-01-01,0.59,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-01-01,23.42,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-02-01,0.41,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-02-01,0.46,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-02-01,0.52,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-02-01,0.59,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-02-01,23.65,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-03-01,0.42,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-03-01,0.47,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-03-01,0.52,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-03-01,0.6,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-03-01,23.95,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-04-01,0.44,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-04-01,0.47,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-04-01,0.51,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-04-01,0.57,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-04-01,23.99,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-05-01,0.42,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-05-01,0.45,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-05-01,0.49,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-05-01,0.55,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-05-01,23.99,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-06-01,0.42,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-06-01,0.44,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-06-01,0.48,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-06-01,0.57,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-06-01,23.81,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-07-01,0.4,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-07-01,0.43,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-07-01,0.47,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-07-01,0.57,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-07-01,23.87,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-08-01,0.38,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-08-01,0.42,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-08-01,0.45,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-08-01,0.56,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-08-01,23.6,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-09-01,0.37,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-09-01,0.41,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-09-01,0.44,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-09-01,0.55,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-09-01,23.62,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-10-01,0.38,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-10-01,0.42,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-10-01,0.45,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-10-01,0.54,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-10-01,23.62,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-11-01,0.41,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-11-01,0.43,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-11-01,0.45,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-11-01,0.54,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-11-01,23.17,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2000-12-01,0.4,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2000-12-01,0.42,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2000-12-01,0.44,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2000-12-01,0.55,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2000-12-01,23.29,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2001-01-01,0.4,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2001-01-01,0.42,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2001-01-01,0.43,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2001-01-01,23.37,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2001-02-01,0.42,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2001-02-01,0.46,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2001-02-01,0.44,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2001-02-01,0.58,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2001-02-01,23.91,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2001-03-01,0.43,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
Rice (second quality),Colombia,Bogotá,WHOLESALE,2001-03-01,0.47,Kg,084325d1-94f6-49db-b726-b2cc5fd3815a
Rice (second quality),Colombia,National Average,RETAIL,2001-03-01,0.48,Kg,a73d5c92-92d5-42ab-8039-c3daa6558352
Rice (second quality),Costa Rica,National Average,RETAIL,2001-03-01,0.58,Kg,01ac5bac-cb0e-42c6-8577-81880759987c
Rice (second quality),Guatemala,Guatemala City,WHOLESALE,2001-03-01,24.03,Spanish quintal (46 kg),5de9f468-f98b-449a-b5ca-7fe8674882bf
Rice (second quality),Colombia,Barranquilla,WHOLESALE,2001-04-01,0.42,Kg,87a5480c-4b3e-401c-ad74-3e43a0bafa27
