commodity_name,country,market,price_type,date,price_usd,unit,uuid
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-06-01,0.52,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-07-01,0.53,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-08-01,0.54,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-09-01,0.54,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-10-01,0.54,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-11-01,0.54,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2020-12-01,0.54,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-01-01,0.55,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-02-01,0.56,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-03-01,0.6,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-04-01,0.59,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-05-01,0.59,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-06-01,0.58,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-07-01,0.57,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-08-01,0.56,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-09-01,0.55,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-10-01,0.53,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-11-01,0.55,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2021-12-01,0.56,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2022-01-01,0.56,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2022-02-01,0.56,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2022-03-01,0.57,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2022-04-01,0.58,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2022-05-01,0.58,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
"Rice (white, imported)",Timor-Leste,National Average,RETAIL,2022-06-01,0.58,Kg,a8c77c13-ac81-449a-abab-4687d2201d9e
