commodity_name,country,market,price_type,date,price_usd,unit,uuid
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-04-01,73.31,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-04-01,78.6,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-05-01,78.38,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-05-01,84.48,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-05-01,86.51,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
Teff (mixed),Ethiopia,Adama City,WHOLESALE,2019-06-01,84.07,100 kg,1fcac9ee-bc4a-4e64-8c89-76f3867818ab
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-06-01,86.09,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Jimma,WHOLESALE,2019-06-01,91.87,100 kg,75b48006-1508-4bec-b819-8a61b2330793
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-06-01,88.69,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-06-01,88.69,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
Teff (mixed),Ethiopia,Adama City,WHOLESALE,2019-07-01,89.74,100 kg,1fcac9ee-bc4a-4e64-8c89-76f3867818ab
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-07-01,90.6,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-07-01,93.19,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-07-01,85.86,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
Teff (mixed),Ethiopia,Adama City,WHOLESALE,2019-08-01,91.0,100 kg,1fcac9ee-bc4a-4e64-8c89-76f3867818ab
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-08-01,96.41,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-08-01,94.52,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-08-01,84.64,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
Teff (mixed),Ethiopia,Adama City,WHOLESALE,2019-09-01,92.13,100 kg,1fcac9ee-bc4a-4e64-8c89-76f3867818ab
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-09-01,100.11,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-09-01,94.47,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-09-01,88.56,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
Teff (mixed),Ethiopia,Adama City,WHOLESALE,2019-10-01,86.74,100 kg,1fcac9ee-bc4a-4e64-8c89-76f3867818ab
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-10-01,96.68,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-10-01,93.46,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-10-01,88.98,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
Teff (mixed),Ethiopia,Adama City,WHOLESALE,2019-11-01,82.38,100 kg,1fcac9ee-bc4a-4e64-8c89-76f3867818ab
Teff (mixed),Ethiopia,Bahirdar,WHOLESALE,2019-11-01,96.21,100 kg,b75ff9d9-fd4f-45f2-bb99-0d149640bb1a
Teff (mixed),Ethiopia,Mekele,WHOLESALE,2019-11-01,89.3,100 kg,c691ec67-edec-44c5-9e2d-821c263550dd
Teff (mixed),Ethiopia,Shashemene Town,WHOLESALE,2019-11-01,86.78,100 kg,21d191df-24cc-438a-9872-fb438d64e34c
