commodity_name,country,market,price_type,date,price_usd,unit,uuid
Wheat (white),Ethiopia,Bahirdar,WHOLESALE,2019-04-01,54.4,100 kg,958060c0-0761-41e2-9526-f5fd3f256c05
Wheat (white),Ethiopia,Mekele,WHOLESALE,2019-04-01,57.07,100 kg,72215a86-2e9f-4fe8-847c-06a88515e79f
Wheat (white),Ethiopia,Bahirdar,WHOLESALE,2019-05-01,54.43,100 kg,958060c0-0761-41e2-9526-f5fd3f256c05
Wheat (white),Ethiopia,Mekele,WHOLESALE,2019-05-01,57.92,100 kg,72215a86-2e9f-4fe8-847c-06a88515e79f
Wheat (white),Ethiopia,Shashemene Town,WHOLESALE,2019-05-01,48.42,100 kg,76309dfd-902b-4b27-adae-274e33a12fe9
Wheat (white),Ethiopia,Adama City,WHOLESALE,2019-06-01,50.67,100 kg,056e0b00-c74c-4bca-b2a0-5e6b1b7e29d2
Wheat (white),Ethiopia,Bahirdar,WHOLESALE,2019-06-01,55.47,100 kg,958060c0-0761-41e2-9526-f5fd3f256c05
Wheat (white),Ethiopia,Jimma,WHOLESALE,2019-06-01,62.4,100 kg,ef1c7e57-db01-43c5-91f8-359d68d7e88c
Wheat (white),Ethiopia,Mekele,WHOLESALE,2019-06-01,58.07,100 kg,72215a86-2e9f-4fe8-847c-06a88515e79f
Wheat (white),Ethiopia,Shashemene Town,WHOLESALE,2019-06-01,55.18,100 kg,76309dfd-902b-4b27-adae-274e33a12fe9
Wheat (white),Ethiopia,Adama City,WHOLESALE,2019-07-01,53.67,100 kg,056e0b00-c74c-4bca-b2a0-5e6b1b7e29d2
Wheat (white),Ethiopia,Bahirdar,WHOLESALE,2019-07-01,57.16,100 kg,958060c0-0761-41e2-9526-f5fd3f256c05
Wheat (white),Ethiopia,Jimma,WHOLESALE,2019-07-01,61.26,100 kg,ef1c7e57-db01-43c5-91f8-359d68d7e88c
Wheat (white),Ethiopia,Mekele,WHOLESALE,2019-07-01,61.09,100 kg,72215a86-2e9f-4fe8-847c-06a88515e79f
Wheat (white),Ethiopia,Shashemene Town,WHOLESALE,2019-07-01,57.47,100 kg,76309dfd-902b-4b27-adae-274e33a12fe9
Wheat (white),Ethiopia,Adama City,WHOLESALE,2019-08-01,60.15,100 kg,056e0b00-c74c-4bca-b2a0-5e6b1b7e29d2
