date,commodity_name,country,market,price_type,unit,uuid,price_usd
1990-01-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,3050.63
1990-02-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2748.93
1990-03-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2723.42
1990-04-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2738.84
1990-05-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2698.33
1990-06-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2699.35
1990-07-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2766.77
1990-08-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2990.5
1990-09-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,3011.18
1990-10-01,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",INTERNATIONAL PRICES,Australia,EXPORT,tonne,e33cc2e8-cbea-44a5-a9ed-4fd4c0cb8523,2810.38
