date,commodity_name,country,market,price_type,unit,uuid,price_usd
1995-01-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,358.25
1995-02-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,580.09
1995-03-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,397.79
1995-04-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,385.81
1995-05-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,393.0
1995-06-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,368.9
1995-07-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,535.41
1995-08-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,520.0
1995-09-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,520.0
1995-10-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,433.21
1995-11-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,440.92
1995-12-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,407.85
1996-01-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,413.37
1996-02-01,"Bananas (Main brands Central and South America, Free on Truck)",INTERNATIONAL PRICES,United States of America (US Gulf ports),IMPORT,tonne,9e19c696-401a-4626-9e7f-6e945e899aa2,590.84
