date,commodity_name,country,market,price_type,unit,uuid,price_usd
1996-12-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,7.75
1997-01-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,10.34
1997-02-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,9.84
1997-03-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,13.53
1997-04-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,10.15
1997-05-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,6.58
1997-06-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,6.55
1997-07-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,7.01
1997-08-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,6.2
1997-09-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,7.2
1997-10-01,"Bananas (Other Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),e1975f90-4297-4595-a75a-f4807480b444,5.25
