commodity_name,market,price_type,date,price_usd,unit,uuid
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2019-04-01,217.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2019-03-01,218.13,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2019-02-01,208.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2019-01-01,210.63,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-12-01,213.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-11-01,221.88,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-10-01,232.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-09-01,232.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-08-01,226.88,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-07-01,236.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-06-01,237.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-05-01,247.2,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-04-01,252.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-03-01,231.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-02-01,219.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2018-01-01,214.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-12-01,202.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-11-01,193.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-10-01,185.8,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-09-01,178.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-08-01,168.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-07-01,161.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-06-01,157.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-05-01,155.9,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-04-01,160.63,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-03-01,162.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-02-01,161.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2017-01-01,163.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-12-01,175.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-11-01,173.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-10-01,171.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-09-01,180.38,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-08-01,182.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-07-01,181.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-06-01,188.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-05-01,190.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-04-01,172.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-03-01,170.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-02-01,165.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2016-01-01,172.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-12-01,186.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-11-01,203.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-10-01,215.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-09-01,217.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-08-01,221.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-07-01,222.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-06-01,217.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-05-01,213.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-04-01,210.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-03-01,210.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-02-01,210.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2015-01-01,218.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-12-01,229.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-11-01,235.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-10-01,235.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-09-01,232.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-08-01,226.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-07-01,221.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-06-01,219.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-05-01,220.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-04-01,222.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-03-01,224.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-02-01,226.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2014-01-01,227.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-12-01,235.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-11-01,237.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-10-01,237.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-09-01,237.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-08-01,238.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-07-01,238.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-06-01,238.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-05-01,240.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-04-01,237.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-03-01,237.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-02-01,230.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2013-01-01,227.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-12-01,232.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-11-01,236.0,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-10-01,234.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-09-01,232.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-08-01,228.75,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-07-01,227.5,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
"Cassava Chips (Shipments to China, f.o.b. Koh Sichang)",Thailand,EXPORT,2012-06-01,231.25,tonne,00cd388c-302b-40ce-ac91-c1f5fed38b43
