commodity_name,market,price_type,date,price_usd,unit,uuid
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2019-04-01,462.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2019-03-01,456.25,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2019-02-01,452.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2019-01-01,453.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-12-01,461.88,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-11-01,492.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-10-01,507.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-09-01,495.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-08-01,485.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-07-01,497.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-06-01,538.75,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-05-01,549.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-04-01,542.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-03-01,503.13,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-02-01,461.25,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2018-01-01,423.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2017-12-01,423.75,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2017-11-01,390.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2017-10-01,353.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2017-09-01,332.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2017-08-01,327.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2017-07-01,327.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
