date,commodity_name,country,market,price_type,unit,uuid,price_usd
1990-01-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1284.29
1990-02-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1242.86
1990-03-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1201.43
1990-04-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1201.43
1990-05-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1990-06-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1990-07-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1990-08-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1990-09-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1990-10-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1180.71
1990-11-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1201.43
1990-12-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1242.86
1991-01-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1325.71
1991-02-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1242.86
1991-03-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1991-04-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1991-05-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1991-06-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1118.57
1991-07-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,994.29
1991-08-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1035.71
1991-09-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1160.0
1991-10-01,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,a2d52862-666a-45d6-8887-2f6a56205000,1284.29
