date,commodity_name,country,market,price_type,unit,uuid,price_usd
1990-01-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1909.86
1990-02-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1863.09
1990-03-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1500.6
1990-04-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1734.47
1990-05-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1422.65
1990-06-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1422.65
1990-07-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1422.65
1990-08-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1344.7
1990-09-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1387.57
1990-10-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1414.86
1990-11-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1434.34
1990-12-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1625.33
1991-01-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1695.49
1991-02-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1676.0
1991-03-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1637.02
1991-04-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1539.58
1991-05-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1520.09
1991-06-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1557.12
1991-07-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1442.14
1991-08-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1490.86
1991-09-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1627.28
1991-10-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1753.95
1991-11-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1824.11
1991-12-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1824.11
1992-01-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1890.37
1992-02-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1890.37
1992-03-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1874.78
1992-04-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1874.78
1992-05-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1944.94
1992-06-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,2046.28
1992-07-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,2065.77
1992-08-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,2026.79
1992-09-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,2085.26
1992-10-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1972.22
1992-11-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1925.45
1992-12-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1905.96
1993-01-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1900.12
1993-02-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1923.5
1993-03-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1898.17
1993-04-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1866.99
1993-05-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1841.65
1993-06-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1843.6
1993-07-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1773.44
1993-08-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1709.91
1993-09-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1614.42
1993-10-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1471.37
1993-11-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1481.12
1993-12-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1500.6
1994-01-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1629.23
1994-02-01,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",INTERNATIONAL PRICES,Europe and Oceania,EXPORT,tonne,23397429-69b2-472f-bfed-19d0bd943937,1627.28
