commodity_name,market,price_type,date,price_usd,unit,uuid
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-10-01,754.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-09-01,780.63,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-08-01,795.1,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-07-01,736.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-06-01,715.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-05-01,669.2,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-04-01,635.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-03-01,615.13,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-02-01,603.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2025-01-01,582.7,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-12-01,568.33,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-11-01,574.5,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-10-01,573.44,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-09-01,554.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-08-01,546.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-07-01,539.4,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-06-01,543.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-05-01,522.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-04-01,545.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-03-01,617.5,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-02-01,583.81,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2024-01-01,596.25,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-12-01,563.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-11-01,535.63,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-10-01,534.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-09-01,527.9,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-08-01,528.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-07-01,458.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2023-06-01,454.55,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
