date,commodity_name,country,market,price_type,unit,uuid,price_usd
2000-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,92.64
2000-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,95.33
2000-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,94.83
2000-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,95.59
2000-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,94.59
2000-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,84.05
2000-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,75.44
2000-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,75.57
2000-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,80.26
2000-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,85.19
2000-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,89.0
2000-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,96.63
2001-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,94.68
2001-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,92.76
2001-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,91.88
2001-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,87.35
2001-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,83.74
2001-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,82.99
2001-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,91.28
2001-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,92.59
2001-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,90.03
2001-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,85.71
2001-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,90.2
2001-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,92.81
2002-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,91.73
2002-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,90.5
2002-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,90.18
2002-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,86.97
2002-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,90.82
2002-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,92.49
2002-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,99.68
2002-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,110.21
2002-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,114.69
2002-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,109.9
2002-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,108.93
2002-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,106.57
2003-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,105.78
2003-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,106.25
2003-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,104.84
2003-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,105.35
2003-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.75
2003-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.21
2003-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,98.74
2003-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,100.0
2003-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,103.44
2003-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,103.81
2003-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.48
2003-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,111.61
2004-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,115.82
