date,commodity_name,country,market,price_type,unit,uuid,price_usd
2000-01-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,90.75
2000-02-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,92.8
2000-03-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,91.25
2000-04-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,90.75
2000-05-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,90.8
2000-06-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,83.67
2000-07-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,78.5
2000-08-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,79.6
2000-09-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,78.75
2000-10-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,82.0
2000-11-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,85.0
2000-12-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,94.5
2001-01-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,91.4
2001-02-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,86.25
2001-03-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,84.75
2001-04-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,80.0
2001-05-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,81.4
2001-06-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,82.5
2001-07-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,88.2
2001-08-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,89.5
2001-09-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,88.25
2001-10-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,88.6
2001-11-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,93.0
2001-12-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,96.67
2002-01-01,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,3fefffb8-a60a-43f6-9f70-b71479f44a04,88.67
