commodity_name,market,price_type,date,price_usd,unit,uuid
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-10-01,2557.67,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-09-01,2581.56,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-08-01,2579.91,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-07-01,2633.46,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-06-01,2626.44,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-05-01,2589.83,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-04-01,2499.44,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-03-01,2513.46,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-02-01,2506.23,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2025-01-01,2452.13,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-12-01,2529.05,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-11-01,2540.12,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-10-01,2531.94,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-09-01,2499.35,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-08-01,2459.8,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-07-01,2409.37,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-06-01,2360.5,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-05-01,2292.77,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-04-01,2300.67,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-03-01,2272.94,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-02-01,2260.41,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2024-01-01,2181.82,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-12-01,2227.51,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-11-01,2286.54,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-10-01,2287.21,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-09-01,2321.62,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-08-01,2378.71,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-07-01,2478.13,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-06-01,2555.92,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-05-01,2587.03,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-04-01,2532.97,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-03-01,2431.45,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-02-01,2465.48,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2023-01-01,2475.24,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-12-01,2555.03,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-11-01,2558.5,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-10-01,2473.43,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-09-01,2450.98,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-08-01,2386.17,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-07-01,2380.95,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-06-01,2429.54,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-05-01,2391.71,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-04-01,2219.4,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-03-01,2143.42,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-02-01,2152.81,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2022-01-01,2217.0,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-12-01,2237.36,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-11-01,2255.99,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-10-01,2292.19,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-09-01,2378.03,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-08-01,2403.18,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-07-01,2497.21,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-06-01,2611.46,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-05-01,2604.98,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-04-01,2489.98,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-03-01,2523.25,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-02-01,2424.43,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2021-01-01,2459.1,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-12-01,2415.19,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-11-01,2474.92,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-10-01,2395.18,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-09-01,2314.96,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-08-01,2235.81,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-07-01,2122.74,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-06-01,2157.27,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-05-01,2372.36,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-04-01,2447.76,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-03-01,2463.37,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-02-01,2465.14,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2020-01-01,2571.6,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-12-01,2596.76,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-11-01,2405.32,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-10-01,2363.67,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-09-01,2320.76,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-08-01,2226.66,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-07-01,2288.89,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-06-01,2293.49,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-05-01,2261.78,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-04-01,2149.81,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-03-01,2041.12,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-02-01,1977.76,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2019-01-01,2008.98,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-12-01,1982.83,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-11-01,1852.11,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-10-01,1801.03,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-09-01,1745.76,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-08-01,1805.31,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-07-01,1852.79,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-06-01,1946.4,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-05-01,2016.0,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-04-01,2100.04,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-03-01,2099.89,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-02-01,2153.33,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2018-01-01,2151.0,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-12-01,2320.26,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-11-01,2416.38,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-10-01,2447.03,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-09-01,2406.8,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-08-01,2429.18,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-07-01,2520.26,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-06-01,2620.79,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-05-01,2691.44,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-04-01,2714.02,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-03-01,2522.99,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-02-01,2324.0,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2017-01-01,2286.44,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2016-12-01,2269.54,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",Brazil,EXPORT,2016-11-01,2620.7,tonne,223de48c-f284-486a-8bb6-fdbdaf81a4ba
