date,commodity_name,country,market,price_type,unit,uuid,price_usd
1990-01-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1942.34
1990-02-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2092.0
1990-03-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2015.65
1990-04-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2208.06
1990-05-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2322.6
1990-06-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2292.06
1990-07-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2327.18
1990-08-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2327.18
1990-09-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2327.18
1990-10-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2340.93
1990-11-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2340.93
1990-12-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,2340.93
1991-01-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1959.11
1991-02-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1889.2
1991-03-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1782.09
1991-04-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1635.53
1991-05-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1637.8
1991-06-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1642.62
1991-07-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1522.8
1991-08-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1525.17
1991-09-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1543.19
1991-10-01,"New Zealand, Meat: Ovine (Lamb Average Export Value)",INTERNATIONAL PRICES,New Zealand,EXPORT,tonne,95d29249-97cb-4f31-b0c3-50615da5813a,1529.44
