date,commodity_name,country,market,price_type,unit,uuid,price_usd
2000-01-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-02-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-03-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-04-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-05-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-06-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-07-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-08-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-09-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-10-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-11-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2000-12-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-01-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-02-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-03-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-04-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-05-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-06-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-07-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-08-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-09-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
2001-10-01,Phosphate rock (P fertilizer),INTERNATIONAL PRICES,Morocco,EXPORT,tonne,ab9e3b3e-b1bc-4884-8bab-7f9b47074f1d,44.0
