date,commodity_name,country,market,price_type,unit,uuid,price_usd
1996-01-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,289.0
1996-02-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,282.0
1996-03-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,275.0
1996-04-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,296.0
1996-05-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,317.0
1996-06-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,310.0
1996-07-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,311.0
1996-08-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,306.0
1996-09-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,315.0
1996-10-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,308.0
1996-11-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,306.0
1996-12-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,300.0
1997-01-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,297.0
1997-02-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,283.0
1997-03-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,296.0
1997-04-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,302.0
1997-05-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,297.0
1997-06-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,265.0
1997-07-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,247.0
1997-08-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,248.0
1997-09-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,264.0
1997-10-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,281.0
1997-11-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,294.0
1997-12-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,296.0
1998-01-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,308.0
1998-02-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,323.0
1998-03-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,323.0
1998-04-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,328.0
1998-05-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,336.0
1998-06-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,266.0
1998-07-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,264.0
1998-08-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,257.0
1998-09-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,277.0
1998-10-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,277.0
1998-11-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,286.0
1998-12-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,285.0
1999-01-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,268.0
1999-02-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,227.0
1999-03-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,217.0
1999-04-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,219.0
1999-05-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,198.0
1999-06-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,189.0
1999-07-01,"Rapeseed (Europe, 00, c.i.f. Hamburg)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,d5206284-45af-4c78-8342-d3550114fa3f,176.0
