date,commodity_name,country,market,price_type,unit,uuid,price_usd
2000-01-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,201.75
2000-02-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,198.75
2000-03-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,187.0
2000-04-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,177.75
2000-05-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,167.25
2000-06-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,165.0
2000-07-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,164.5
2000-08-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,163.5
2000-09-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,157.8
2000-10-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,162.25
2000-11-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,157.5
2000-12-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,157.4
2001-01-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,157.75
2001-02-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,158.75
2001-03-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,148.6
2001-04-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,142.0
2001-05-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,144.0
2001-06-01,Rice (25% broken),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,fc7a55f2-1cf5-4079-bd7a-80eacf7958b8,149.8
