commodity_name,market,price_type,date,price_usd,unit,uuid
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-10-01,370.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-09-01,389.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-08-01,390.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-07-01,407.8,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-06-01,434.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-05-01,446.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-04-01,429.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-03-01,439.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-02-01,451.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2025-01-01,492.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-12-01,541.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-11-01,525.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-10-01,528.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-09-01,595.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-08-01,603.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-07-01,603.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-06-01,646.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-05-01,651.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-04-01,607.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-03-01,627.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-02-01,638.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2024-01-01,674.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-12-01,658.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-11-01,616.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-10-01,603.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-09-01,634.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-08-01,650.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-07-01,561.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-06-01,528.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-05-01,524.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-04-01,515.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-03-01,492.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-02-01,496.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2023-01-01,530.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2022-12-01,482.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2022-11-01,453.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2022-10-01,444.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2022-09-01,453.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2022-08-01,444.8,tonne,c7208b39-2617-426c-b248-c975cb951254
