date,price_usd,commodity_name,country,market,price_type,unit
1989-01-01,230.8,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-02-01,235.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-03-01,233.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-04-01,239.25,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-05-01,247.6,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-06-01,244.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-07-01,243.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-08-01,212.6,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-09-01,203.67,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-10-01,173.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-11-01,169.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1989-12-01,174.67,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-01-01,166.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-02-01,179.67,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-03-01,168.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-04-01,162.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-05-01,148.4,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-06-01,141.33,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-07-01,150.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-08-01,149.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-09-01,149.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-10-01,160.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-11-01,147.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1990-12-01,148.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-01-01,155.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-02-01,175.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-03-01,178.75,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-04-01,176.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-05-01,173.25,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-06-01,167.75,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-07-01,173.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-08-01,188.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-09-01,190.75,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-10-01,192.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-11-01,186.33,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1991-12-01,184.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-01-01,190.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-02-01,190.33,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-03-01,187.8,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-04-01,188.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-05-01,176.25,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-06-01,172.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-07-01,176.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-08-01,184.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-09-01,178.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-10-01,173.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-11-01,174.67,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1992-12-01,165.33,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-01-01,170.25,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-02-01,173.33,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-03-01,164.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-04-01,150.67,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-05-01,150.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-06-01,150.8,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-07-01,152.25,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-08-01,158.8,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-09-01,165.25,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-10-01,162.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-11-01,166.4,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1993-12-01,160.33,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1994-01-01,155.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1994-02-01,157.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1994-03-01,158.5,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1994-04-01,159.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
1994-05-01,164.0,Rice (Thai A1 Super),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne
