date,commodity_name,country,market,price_type,unit,uuid,price_usd
1987-01-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,440.0
1987-02-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,440.0
1987-03-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,440.0
1987-04-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,440.0
1987-05-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,440.0
1987-06-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,440.0
1987-07-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,430.0
1987-08-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,430.0
1987-09-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,430.0
1987-10-01,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,729f6952-212e-4896-ad2e-c8b724ee40a0,420.0
