date,commodity_name,country,market,price_type,unit,uuid,price_usd
1987-01-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-02-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-03-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-04-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-05-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-06-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-07-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-08-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-09-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,610.0
1987-10-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,615.0
1987-11-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,620.0
1987-12-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,620.0
1988-01-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,620.0
1988-02-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,620.0
1988-03-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,620.0
1988-04-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,620.0
1988-05-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,625.0
1988-06-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,630.0
1988-07-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,635.0
1988-08-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,650.0
1988-09-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,665.0
1988-10-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,665.0
1988-11-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,676.0
1988-12-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,685.0
1989-01-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,688.0
1989-02-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,690.0
1989-03-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,690.0
1989-04-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,690.0
1989-05-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,703.0
1989-06-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,717.0
1989-07-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,720.0
1989-08-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,720.0
1989-09-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,720.0
1989-10-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,723.0
1989-11-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1989-12-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-01-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-02-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-03-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-04-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-05-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-06-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,730.0
1990-07-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1990-08-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1990-09-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1990-10-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1990-11-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1990-12-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1991-01-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1991-02-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,738.0
1991-03-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,750.0
1991-04-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,743.0
1991-05-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,740.0
1991-06-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,705.0
1991-07-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,673.0
1991-08-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,612.0
1991-09-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,583.0
1991-10-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,580.0
1991-11-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,570.0
1991-12-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,564.0
1992-01-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,554.0
1992-02-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,544.0
1992-03-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,535.0
1992-04-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,526.0
1992-05-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,515.0
1992-06-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,501.0
1992-07-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,489.0
1992-08-01,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",INTERNATIONAL PRICES,East Africa,EXPORT,tonne,79f47b5c-429d-4bba-9eaa-d9975c063033,484.0
