date,commodity_name,country,market,price_type,unit,uuid,price_usd
1996-01-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,614.0
1996-02-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,597.0
1996-03-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,567.0
1996-04-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,614.0
1996-05-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,618.0
1996-06-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,577.0
1996-07-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,578.0
1996-08-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,583.0
1996-09-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,588.0
1996-10-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,539.0
1996-11-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,523.0
1996-12-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,513.0
1997-01-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,520.0
1997-02-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,506.0
1997-03-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,532.0
1997-04-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,568.0
1997-05-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,607.0
1997-06-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,576.0
1997-07-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,573.0
1997-08-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,536.0
1997-09-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,543.0
1997-10-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,628.0
1997-11-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,701.0
1997-12-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,687.0
1998-01-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,667.0
1998-02-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,695.0
1998-03-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,760.0
1998-04-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,789.0
1998-05-01,Sunflower oil (f.o.b. North West European Ports),INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,a8138ffa-bda2-4503-9d83-dbc4d3b998ad,855.0
