date,price_usd,commodity_name,country,market,price_type,unit
2000-01-01,77.4,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-02-01,90.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-03-01,88.75,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-04-01,83.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-05-01,91.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-06-01,105.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-07-01,121.7,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-08-01,133.38,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-09-01,113.88,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-10-01,111.1,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-11-01,99.38,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2000-12-01,96.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-01-01,121.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-02-01,105.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-03-01,98.88,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-04-01,95.3,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-05-01,85.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-06-01,87.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-07-01,87.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-08-01,88.75,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-09-01,94.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-10-01,96.1,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-11-01,96.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2001-12-01,101.17,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-01-01,104.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-02-01,99.62,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-03-01,90.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-04-01,84.7,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-05-01,85.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-06-01,92.75,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-07-01,94.2,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-08-01,105.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-09-01,93.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-10-01,92.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-11-01,92.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2002-12-01,99.38,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
2003-01-01,112.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne
