commodity_name,market,price_type,date,price_usd,unit,uuid
Wheat (ASW),Australia (Eastern States),EXPORT,2025-10-01,240.65,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-09-01,242.14,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-08-01,246.62,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-07-01,253.0,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-06-01,248.62,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-05-01,253.27,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-04-01,247.45,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-03-01,243.67,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-02-01,251.0,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2025-01-01,245.39,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2024-12-01,248.91,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2024-11-01,255.71,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2024-10-01,254.3,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2024-09-01,258.38,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
Wheat (ASW),Australia (Eastern States),EXPORT,2024-08-01,270.41,tonne,c030667e-131d-421a-ba94-ab6cf8ffe2ee
