date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2005-01-01,0.51,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.51
2005-02-01,0.53,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.53
2005-03-01,0.54,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.54
2005-04-01,0.56,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.56
2005-05-01,0.56,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.56
2005-06-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2005-07-01,0.56,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.56
2005-08-01,0.53,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.53
2005-09-01,0.54,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.54
2005-10-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2005-11-01,0.53,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.53
2005-12-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2006-01-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2006-02-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2006-03-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2006-04-01,0.55,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.55
2006-05-01,0.56,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.56
2006-06-01,0.59,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.59
2006-07-01,0.59,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.59
2006-08-01,0.62,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.62
2006-09-01,0.64,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.64
2006-10-01,0.65,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.65
2006-11-01,0.66,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2006-12-01,0.68,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.68
2007-01-01,0.68,Bread (first grade flour),Armenia,National Average,RETAIL,Kg,kg,0.68
