date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2014-01-01,0.75,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9375
2014-02-01,0.76,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.95
2014-03-01,0.78,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.975
2014-04-01,0.8,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,1.0
2014-05-01,0.79,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9875
2014-06-01,0.77,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9625
2014-07-01,0.78,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.975
2014-08-01,0.79,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9875
2014-09-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,1.0125
2014-10-01,0.8,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,1.0
2014-11-01,0.8,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,1.0
2014-12-01,0.78,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.975
2015-01-01,0.77,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9625
2015-02-01,0.77,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9625
2015-03-01,0.74,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9249999999999999
2015-04-01,0.74,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9249999999999999
2015-05-01,0.78,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.975
2015-06-01,0.76,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.95
2015-07-01,0.75,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9375
2015-08-01,0.73,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.9125
2015-09-01,0.69,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.8624999999999999
2015-10-01,0.7,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.8749999999999999
2015-11-01,0.67,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.8375
2015-12-01,0.63,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7875
2016-01-01,0.57,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7124999999999999
2016-02-01,0.6,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7499999999999999
2016-03-01,0.61,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7625
2016-04-01,0.64,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7999999999999999
2016-05-01,0.61,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7625
2016-06-01,0.62,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.7749999999999999
2016-07-01,0.65,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.8125
2016-08-01,0.68,Bread (white),Eswatini,Hhohho,RETAIL,800 gms,kg,0.85
