date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2010-03-01,1.1,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.1
2010-04-01,1.05,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.05
2010-05-01,1.52,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.52
2010-06-01,1.95,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.95
2010-07-01,1.77,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.77
2010-08-01,2.01,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.01
2010-09-01,2.0,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.0
2010-10-01,1.5,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.5
2010-11-01,1.68,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.68
2010-12-01,1.8,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.8
2011-01-01,2.27,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.27
2011-02-01,1.29,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.29
2011-03-01,1.41,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.41
2011-04-01,1.33,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.33
2011-05-01,1.52,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.52
2011-06-01,2.04,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.04
2011-07-01,3.06,Cockles,Tonga,National Average,RETAIL,Kg,kg,3.06
2011-08-01,2.77,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.77
2011-09-01,2.27,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.27
2011-10-01,2.37,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.37
2011-11-01,1.92,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.92
2011-12-01,2.02,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.02
2012-01-01,1.8,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.8
2012-02-01,1.62,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.62
2012-03-01,1.33,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.33
2012-04-01,1.53,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.53
2012-05-01,1.61,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.61
2012-06-01,2.18,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.18
2012-07-01,2.79,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.79
2012-08-01,2.54,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.54
2012-09-01,2.55,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.55
2012-10-01,1.6,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.6
2012-11-01,2.61,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.61
2012-12-01,2.3,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.3
2013-01-01,2.13,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.13
2013-02-01,1.92,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.92
2013-03-01,1.25,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.25
2013-04-01,1.47,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.47
2013-05-01,1.88,Cockles,Tonga,National Average,RETAIL,Kg,kg,1.88
2013-06-01,2.19,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.19
2013-07-01,2.04,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.04
2013-08-01,2.35,Cockles,Tonga,National Average,RETAIL,Kg,kg,2.35
