date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2019-01-01,0.91,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.91
2019-02-01,0.91,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.91
2019-03-01,0.69,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.69
2019-04-01,0.9,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.9
2019-05-01,0.6,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.6
2019-06-01,0.63,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.63
2019-07-01,0.85,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.85
2019-08-01,0.97,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.97
2019-09-01,0.88,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.88
2019-10-01,0.98,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.98
2019-11-01,1.0,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.0
2019-12-01,1.13,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.13
2020-01-01,0.91,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.91
2020-02-01,0.88,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.88
2020-03-01,0.63,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.63
2020-04-01,,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,
2020-05-01,0.75,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.75
2020-06-01,0.83,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,0.83
2020-07-01,1.13,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.13
2020-08-01,1.21,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.21
2020-09-01,1.15,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.15
2020-10-01,1.0,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.0
2020-11-01,1.0,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.0
2020-12-01,1.0,Onions (yellow),Belize,Belize City,RETAIL,lb,lb,1.0
