date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2021-01-01,1.21,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.21
2021-02-01,1.26,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.26
2021-03-01,1.38,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.38
2021-04-01,1.38,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.38
2021-05-01,1.41,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.41
2021-06-01,1.48,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.48
2021-07-01,1.53,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.53
2021-08-01,1.54,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.54
2021-09-01,1.63,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.63
2021-10-01,1.73,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.73
2021-11-01,1.78,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.78
2021-12-01,1.92,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,1.92
2022-01-01,2.04,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.04
2022-02-01,2.11,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.11
2022-03-01,2.41,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.41
2022-04-01,2.64,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.64
2022-05-01,2.68,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.68
2022-06-01,2.53,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.53
2022-07-01,2.53,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.53
2022-08-01,2.54,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.54
2022-09-01,2.55,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.55
2022-10-01,2.41,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.41
2022-11-01,2.18,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.18
2022-12-01,2.17,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.17
2023-01-01,2.16,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.16
2023-02-01,2.2,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.2
2023-03-01,2.2,Rice (long grain),Angola,Bengo,RETAIL,Kg,kg,2.2
