date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-01-01,1.21,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.21
2022-02-01,1.23,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.23
2022-03-01,1.35,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.35
2022-04-01,1.45,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.45
2022-05-01,1.43,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.43
2022-06-01,1.48,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.48
2022-07-01,1.49,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.49
2022-08-01,1.51,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.51
2022-09-01,1.52,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.52
2022-10-01,1.52,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.52
2022-11-01,1.54,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.54
2022-12-01,1.52,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.52
2023-01-01,1.52,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.52
2023-02-01,1.53,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.53
2023-03-01,1.54,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.54
2023-04-01,1.62,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.62
2023-05-01,1.65,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.65
2023-06-01,1.63,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.63
2023-07-01,1.62,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.62
2023-08-01,1.64,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.64
2023-09-01,1.62,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.62
2023-10-01,1.6,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.6
2023-11-01,1.61,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.61
2023-12-01,1.63,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.63
2024-01-01,1.64,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.64
2024-02-01,1.62,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.62
2024-03-01,1.62,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.62
2024-04-01,1.61,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.61
2024-05-01,1.61,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.61
2024-06-01,1.6,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.6
2024-07-01,1.63,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.63
2024-08-01,1.65,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.65
2024-09-01,1.63,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.63
2024-10-01,1.6,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.6
2024-11-01,1.57,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.57
2024-12-01,1.55,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.55
2025-01-01,1.53,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.53
2025-02-01,1.55,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.55
2025-03-01,1.6,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.6
2025-04-01,1.67,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.67
2025-05-01,1.7,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.7
2025-06-01,1.68,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.68
2025-07-01,1.74,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.74
2025-08-01,1.73,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.73
2025-09-01,1.73,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.73
2025-10-01,1.72,Spaghetti,Republic of Moldova,National Average,RETAIL,Kg,kg,1.72
