date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2017-06-01,2.99,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9933333333333334
2017-07-01,2.85,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9000000000000001
2017-08-01,2.84,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.8933333333333333
2017-09-01,2.97,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9800000000000002
2017-10-01,2.95,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9666666666666668
2017-11-01,2.94,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.96
2017-12-01,2.96,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9733333333333334
2018-01-01,2.77,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.8466666666666667
2018-02-01,2.66,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.7733333333333334
2018-03-01,2.74,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.8266666666666669
2018-04-01,2.9,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9333333333333333
2018-05-01,2.64,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.76
2018-06-01,2.54,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6933333333333334
2018-07-01,2.7,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.8
2018-08-01,2.61,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.74
2018-09-01,2.36,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5733333333333333
2018-10-01,2.53,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6866666666666665
2018-11-01,2.63,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.7533333333333332
2018-12-01,2.53,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6866666666666665
2019-01-01,2.62,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.7466666666666668
2019-02-01,2.51,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6733333333333331
2019-03-01,2.35,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5666666666666667
2019-04-01,2.35,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5666666666666667
2019-05-01,2.29,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5266666666666666
2019-06-01,2.43,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.62
2019-07-01,2.62,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.7466666666666668
2019-08-01,2.21,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4733333333333334
2019-09-01,2.17,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4466666666666665
2019-10-01,2.12,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4133333333333333
2019-11-01,2.12,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4133333333333333
2019-12-01,2.18,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4533333333333334
2020-01-01,2.36,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5733333333333333
2020-02-01,2.41,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6066666666666667
2020-03-01,2.35,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5666666666666667
2020-04-01,2.3,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5333333333333332
2020-05-01,2.25,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5
2020-06-01,2.17,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4466666666666665
2020-07-01,2.18,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4533333333333334
2020-08-01,2.24,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.4933333333333334
2020-09-01,2.19,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.46
2020-10-01,2.38,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.5866666666666667
2020-11-01,2.51,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6733333333333331
2020-12-01,2.5,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6666666666666667
2021-01-01,2.54,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.6933333333333334
2021-02-01,2.74,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.8266666666666669
2021-03-01,2.77,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.8466666666666667
2021-04-01,2.89,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,1.9266666666666667
2021-05-01,3.05,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.033333333333333
2021-06-01,3.22,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.146666666666667
2021-07-01,3.35,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.2333333333333334
2021-08-01,3.36,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.2399999999999998
2021-09-01,3.33,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.22
2021-10-01,3.2,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.1333333333333333
2021-11-01,3.15,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.1
2021-12-01,3.13,Sunflower oil,Argentina,Cuyo,RETAIL,1.5 Liter,liter,2.0866666666666664
