date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2010-03-01,0.72,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.72
2010-04-01,0.66,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.66
2010-05-01,0.65,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.65
2010-06-01,0.64,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.64
2010-07-01,0.59,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.59
2010-08-01,0.64,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.64
2010-09-01,0.78,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.78
2010-10-01,0.76,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.76
2010-11-01,1.03,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,1.03
2010-12-01,0.97,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.97
2011-01-01,0.72,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.72
2011-02-01,0.85,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.85
2011-03-01,0.72,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.72
2011-04-01,0.64,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.64
2011-05-01,0.51,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.51
2011-06-01,0.54,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.54
2011-07-01,0.63,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.63
2011-08-01,0.66,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.66
2011-09-01,0.75,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.75
2011-10-01,0.64,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.64
2011-11-01,0.56,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.56
2011-12-01,0.52,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.52
2012-01-01,0.78,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.78
2012-02-01,0.67,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.67
2012-03-01,0.73,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.73
2012-04-01,0.71,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.71
2012-05-01,0.59,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.59
2012-06-01,0.52,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.52
2012-07-01,0.63,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.63
2012-08-01,0.72,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.72
2012-09-01,0.65,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.65
2012-10-01,0.67,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.67
2012-11-01,1.09,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,1.09
2012-12-01,0.59,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.59
2013-01-01,0.75,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.75
2013-02-01,0.65,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.65
2013-03-01,0.55,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.55
2013-04-01,0.54,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.54
2013-05-01,0.55,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.55
2013-06-01,0.65,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.65
2013-07-01,0.53,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.53
2013-08-01,0.56,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.56
2013-09-01,0.69,Taro (Tonga),Tonga,National Average,RETAIL,Kg,kg,0.69
