date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2007-06-01,1.43,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.43
2007-07-01,1.46,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.46
2007-08-01,1.56,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.56
2007-09-01,1.59,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.59
2007-10-01,1.63,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.63
2007-11-01,1.68,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.68
2007-12-01,1.67,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.67
2008-01-01,2.02,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.02
2008-02-01,2.25,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.25
2008-03-01,2.37,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.37
2008-04-01,2.4,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.4
2008-05-01,2.37,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.37
2008-06-01,2.37,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.37
2008-07-01,2.4,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.4
2008-08-01,2.05,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.05
2008-09-01,2.19,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.19
2008-10-01,2.03,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.03
2008-11-01,1.94,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.94
2008-12-01,2.08,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,2.08
2009-01-01,1.82,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.82
2009-02-01,1.95,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.95
2009-03-01,1.99,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.99
2009-04-01,1.81,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.81
2009-05-01,1.64,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.64
2009-06-01,1.6,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.6
2009-07-01,1.72,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.72
2009-08-01,1.63,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.63
2009-09-01,1.66,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.66
2009-10-01,1.69,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.69
2009-11-01,1.71,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.71
2009-12-01,1.67,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.67
2010-01-01,1.71,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.71
2010-02-01,1.88,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.88
2010-03-01,1.8,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.8
2010-04-01,1.74,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.74
2010-05-01,1.65,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.65
2010-06-01,1.67,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.67
2010-07-01,1.8,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.8
2010-08-01,1.81,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.81
2010-09-01,1.79,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.79
2010-10-01,1.91,Vegetable oil (imported),Guinea-Bissau,Bissau-Bandim,RETAIL,Liter,liter,1.91
