date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,211.85,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.21184999999999998
2000-02-01,230.92,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.23092
2000-03-01,264.45,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.26444999999999996
2000-04-01,277.07,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.27707
2000-05-01,279.88,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.27988
2000-06-01,281.82,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.28182
2000-07-01,279.48,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.27948
2000-08-01,269.16,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.26916
2000-09-01,254.46,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.25446
2000-10-01,252.36,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.25236000000000003
2000-11-01,247.37,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.24737
2000-12-01,244.67,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.24467
2001-01-01,245.04,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.24503999999999998
2001-02-01,251.18,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.25118
2001-03-01,260.08,"Wheat (flour, highest grade, offer, EXW)",Ukraine,National Average,WHOLESALE,tonne,kg,0.26008
