date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1996-12-01,7.75,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,7.75
1997-01-01,12.84,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,12.84
1997-02-01,13.06,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,13.06
1997-03-01,16.19,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,16.19
1997-04-01,11.9,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,11.9
1997-05-01,8.53,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.53
1997-06-01,8.28,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.28
1997-07-01,8.44,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.44
1997-08-01,7.2,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,7.2
1997-09-01,8.39,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.39
1997-10-01,6.75,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.75
1997-11-01,7.38,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,7.38
1997-12-01,7.83,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,7.83
1998-01-01,8.22,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.22
1998-02-01,12.88,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,12.88
1998-03-01,11.6,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,11.6
1998-04-01,12.56,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,12.56
1998-05-01,12.03,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,12.03
1998-06-01,11.43,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,11.43
1998-07-01,8.6,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.6
1998-08-01,6.66,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.66
1998-09-01,6.58,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.58
1998-10-01,5.59,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,5.59
1998-11-01,9.34,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,9.34
1998-12-01,7.8,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,7.8
1999-01-01,8.7,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.7
1999-02-01,8.84,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.84
1999-03-01,8.3,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.3
1999-04-01,8.91,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.91
1999-05-01,8.01,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.01
1999-06-01,5.7,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,5.7
1999-07-01,6.62,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.62
1999-08-01,6.92,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.92
1999-09-01,6.81,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.81
1999-10-01,5.88,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,5.88
1999-11-01,7.0,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,7.0
1999-12-01,6.38,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.38
2000-01-01,8.38,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.38
2000-02-01,10.63,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,10.63
2000-03-01,8.82,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.82
2000-04-01,8.69,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.69
2000-05-01,8.03,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,8.03
2000-06-01,6.94,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.94
2000-07-01,5.88,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,5.88
2000-08-01,6.05,"Bananas (Main Brands Central America, Delivered at Terminal)",INTERNATIONAL PRICES,United States of America (US West Coast),IMPORT,Box (18.14 kg),unit,6.05
