date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,77.4,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.07740000000000001
2000-02-01,90.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09012
2000-03-01,88.75,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.08875
2000-04-01,83.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.08325
2000-05-01,91.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.091
2000-06-01,105.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.10512
2000-07-01,121.7,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.1217
2000-08-01,133.38,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.13338
2000-09-01,113.88,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.11388
2000-10-01,111.1,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.11109999999999999
2000-11-01,99.38,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09938
2000-12-01,96.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.096
2001-01-01,121.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.121
2001-02-01,105.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.10525
2001-03-01,98.88,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09888
2001-04-01,95.3,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0953
2001-05-01,85.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.085
2001-06-01,87.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0875
2001-07-01,87.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0875
2001-08-01,88.75,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.08875
2001-09-01,94.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0945
2001-10-01,96.1,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09609999999999999
2001-11-01,96.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0965
2001-12-01,101.17,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.10117
2002-01-01,104.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.10412
2002-02-01,99.62,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09962
2002-03-01,90.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09025
2002-04-01,84.7,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0847
2002-05-01,85.5,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0855
2002-06-01,92.75,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09275
2002-07-01,94.2,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.0942
2002-08-01,105.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.105
2002-09-01,93.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.093
2002-10-01,92.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09225
2002-11-01,92.25,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09225
2002-12-01,99.38,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.09938
2003-01-01,112.0,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.112
2003-02-01,132.12,Urea (N fertilizer),INTERNATIONAL PRICES,Black Sea,EXPORT,tonne,kg,0.13212000000000002
