date,price_usd,commodity_name,country,market,price_type,unit
2017-06-01,4.52,Beef meat,Argentina,Cuyo,RETAIL,Kg
2017-07-01,4.28,Beef meat,Argentina,Cuyo,RETAIL,Kg
2017-08-01,4.23,Beef meat,Argentina,Cuyo,RETAIL,Kg
2017-09-01,4.34,Beef meat,Argentina,Cuyo,RETAIL,Kg
2017-10-01,4.23,Beef meat,Argentina,Cuyo,RETAIL,Kg
2017-11-01,4.22,Beef meat,Argentina,Cuyo,RETAIL,Kg
2017-12-01,4.2,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-01-01,3.95,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-02-01,3.93,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-03-01,3.99,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-04-01,4.07,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-05-01,3.46,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-06-01,3.36,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-07-01,3.33,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-08-01,3.16,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-09-01,2.65,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-10-01,2.9,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-11-01,2.96,Beef meat,Argentina,Cuyo,RETAIL,Kg
2018-12-01,2.84,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-01-01,3.03,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-02-01,3.48,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-03-01,3.52,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-04-01,3.41,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-05-01,3.3,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-06-01,3.4,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-07-01,3.55,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-08-01,2.97,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-09-01,2.91,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-10-01,2.87,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-11-01,3.1,Beef meat,Argentina,Cuyo,RETAIL,Kg
2019-12-01,3.18,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-01-01,3.26,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-02-01,3.28,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-03-01,3.3,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-04-01,3.42,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-05-01,3.28,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-06-01,3.21,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-07-01,3.17,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-08-01,3.17,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-09-01,3.13,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-10-01,3.08,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-11-01,3.24,Beef meat,Argentina,Cuyo,RETAIL,Kg
2020-12-01,3.89,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-01-01,4.04,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-02-01,3.97,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-03-01,4.11,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-04-01,4.28,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-05-01,4.42,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-06-01,4.66,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-07-01,4.59,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-08-01,4.47,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-09-01,4.35,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-10-01,4.29,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-11-01,4.6,Beef meat,Argentina,Cuyo,RETAIL,Kg
2021-12-01,5.18,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-01-01,5.1,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-02-01,5.3,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-03-01,5.66,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-04-01,5.74,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-05-01,5.83,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-06-01,5.7,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-07-01,5.53,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-08-01,5.31,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-09-01,5.02,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-10-01,4.81,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-11-01,4.51,Beef meat,Argentina,Cuyo,RETAIL,Kg
2022-12-01,4.26,Beef meat,Argentina,Cuyo,RETAIL,Kg
2023-01-01,4.15,Beef meat,Argentina,Cuyo,RETAIL,Kg
2023-02-01,5.15,Beef meat,Argentina,Cuyo,RETAIL,Kg
2023-03-01,5.46,Beef meat,Argentina,Cuyo,RETAIL,Kg
2023-04-01,5.17,Beef meat,Argentina,Cuyo,RETAIL,Kg
2023-05-01,4.94,Beef meat,Argentina,Cuyo,RETAIL,Kg
