date,price_usd,commodity_name,country,market,price_type,unit
2011-11-01,1.2,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2011-12-01,1.14,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-01-01,1.13,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-02-01,1.19,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-03-01,1.24,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-04-01,1.25,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-05-01,1.19,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-06-01,1.2,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-07-01,1.14,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-08-01,1.06,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-09-01,1.07,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-10-01,1.02,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-11-01,,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2012-12-01,,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-01-01,1.24,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-02-01,1.26,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-03-01,1.27,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-04-01,1.28,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-05-01,1.24,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-06-01,1.19,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-07-01,1.23,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-08-01,1.25,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-09-01,1.34,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-10-01,1.37,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-11-01,1.36,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2013-12-01,1.38,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-01-01,1.32,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-02-01,1.25,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-03-01,1.21,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-04-01,1.14,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-05-01,1.21,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-06-01,1.23,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-07-01,1.39,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-08-01,1.42,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
2014-09-01,1.31,Chicken (without offals),Ecuador,Quito,WHOLESALE,lb
