date,price_usd,commodity_name,country,market,price_type,unit
2019-04-01,0.81,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-05-01,0.81,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-06-01,0.81,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-07-01,1.0,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-08-01,0.81,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-09-01,0.96,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-10-01,0.88,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-11-01,0.88,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2019-12-01,0.87,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-01-01,0.96,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-02-01,1.01,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-03-01,0.99,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-04-01,0.83,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-05-01,0.95,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-06-01,0.99,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-07-01,0.95,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-08-01,1.17,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-09-01,1.1,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-10-01,1.09,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-11-01,0.95,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2020-12-01,0.99,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-01-01,1.06,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-02-01,1.03,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-03-01,1.03,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-04-01,1.11,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-05-01,1.09,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-06-01,1.11,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-07-01,1.09,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-08-01,1.05,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-09-01,1.1,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-10-01,1.39,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-11-01,1.34,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2021-12-01,1.13,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2022-01-01,1.17,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2022-02-01,1.21,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
2022-03-01,1.28,Lentils (broken),Nepal,Biratnagar,RETAIL,Kg
