date,price_usd,commodity_name,country,market,price_type,unit
2005-02-01,39.4,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-03-01,39.79,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-04-01,37.22,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-05-01,35.35,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-06-01,33.71,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-07-01,33.32,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-08-01,34.75,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-09-01,35.26,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-10-01,36.7,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-11-01,37.37,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2005-12-01,37.53,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-01-01,37.15,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-02-01,36.58,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-03-01,36.12,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-04-01,35.77,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-05-01,35.93,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-06-01,35.49,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-07-01,35.78,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-08-01,37.22,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-09-01,37.83,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-10-01,39.09,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-11-01,41.21,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2006-12-01,43.23,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-01-01,,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-02-01,40.93,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-03-01,40.62,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-04-01,40.51,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-05-01,39.87,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-06-01,40.01,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-07-01,43.38,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-08-01,44.86,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-09-01,51.52,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-10-01,55.13,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-11-01,61.67,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2007-12-01,62.0,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-01-01,62.49,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-02-01,61.96,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-03-01,64.45,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-04-01,64.38,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-05-01,61.2,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-06-01,59.39,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-07-01,58.6,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-08-01,55.5,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-09-01,54.71,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-10-01,50.68,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-11-01,46.17,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2008-12-01,47.58,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-01-01,43.92,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-02-01,42.37,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-03-01,41.41,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-04-01,38.84,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-05-01,38.27,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-06-01,35.91,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-07-01,35.6,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-08-01,36.12,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-09-01,39.43,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-10-01,41.7,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-11-01,45.1,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2009-12-01,44.61,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-01-01,44.08,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-02-01,41.9,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-03-01,41.24,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-04-01,39.87,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-05-01,37.63,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-06-01,36.23,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-07-01,39.89,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-08-01,41.1,Milk (raw),Austria,National Average,WHOLESALE,100 kg
2010-09-01,43.56,Milk (raw),Austria,National Average,WHOLESALE,100 kg
