date,price_usd,commodity_name,country,market,price_type,unit
2020-05-01,0.83,Niebe,Senegal,Dakar,RETAIL,Kg
2020-06-01,0.9,Niebe,Senegal,Dakar,RETAIL,Kg
2020-07-01,0.79,Niebe,Senegal,Dakar,RETAIL,Kg
2020-08-01,0.9,Niebe,Senegal,Dakar,RETAIL,Kg
2020-09-01,0.88,Niebe,Senegal,Dakar,RETAIL,Kg
2020-10-01,0.81,Niebe,Senegal,Dakar,RETAIL,Kg
2020-11-01,0.87,Niebe,Senegal,Dakar,RETAIL,Kg
2020-12-01,0.88,Niebe,Senegal,Dakar,RETAIL,Kg
2021-01-01,0.79,Niebe,Senegal,Dakar,RETAIL,Kg
2021-02-01,0.78,Niebe,Senegal,Dakar,RETAIL,Kg
2021-03-01,0.88,Niebe,Senegal,Dakar,RETAIL,Kg
2021-04-01,0.87,Niebe,Senegal,Dakar,RETAIL,Kg
2021-05-01,0.93,Niebe,Senegal,Dakar,RETAIL,Kg
2021-06-01,0.92,Niebe,Senegal,Dakar,RETAIL,Kg
2021-07-01,0.81,Niebe,Senegal,Dakar,RETAIL,Kg
2021-08-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2021-09-01,0.9,Niebe,Senegal,Dakar,RETAIL,Kg
2021-10-01,1.06,Niebe,Senegal,Dakar,RETAIL,Kg
2021-11-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2021-12-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-01-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-02-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-03-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-04-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-05-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-06-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-07-01,2.33,Niebe,Senegal,Dakar,RETAIL,Kg
2022-08-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-09-01,,Niebe,Senegal,Dakar,RETAIL,Kg
2022-10-01,2.1,Niebe,Senegal,Dakar,RETAIL,Kg
