date,price_usd,commodity_name,country,market,price_type,unit
2020-01-01,37.57,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-02-01,40.41,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-03-01,55.33,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-04-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-05-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-06-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-07-01,51.24,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-08-01,53.25,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-09-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-10-01,48.44,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-11-01,47.61,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2020-12-01,46.58,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-01-01,45.77,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-02-01,45.36,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-03-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-04-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-05-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-06-01,48.39,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-07-01,56.81,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-08-01,55.66,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-09-01,54.57,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-10-01,64.26,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-11-01,67.28,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2021-12-01,65.9,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-01-01,62.61,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-02-01,63.51,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-03-01,68.78,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-04-01,68.36,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-05-01,67.98,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-06-01,69.51,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-07-01,69.14,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-08-01,87.64,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-09-01,85.5,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-10-01,85.21,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-11-01,88.46,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2022-12-01,86.29,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-01-01,74.59,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-02-01,85.77,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-03-01,87.47,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-04-01,83.1,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-05-01,79.06,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-06-01,82.71,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-07-01,82.01,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-08-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-09-01,108.53,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-10-01,126.42,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-11-01,125.85,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2023-12-01,125.34,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-01-01,124.79,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-02-01,123.67,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-03-01,123.36,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-04-01,128.17,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-05-01,122.11,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-06-01,113.03,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-07-01,121.48,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-08-01,63.96,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-09-01,60.69,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-10-01,58.18,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-11-01,53.01,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2024-12-01,,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-01-01,51.18,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-02-01,51.13,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-03-01,50.16,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-04-01,56.87,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-05-01,55.99,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-06-01,55.24,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-07-01,50.79,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
2025-08-01,46.3,Sorghum (red),Ethiopia,Diredawa,RETAIL,100 kg
1995-03-01,820.0,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-04-01,,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-05-01,,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-06-01,,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-07-01,0.09,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-08-01,0.12,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-09-01,0.12,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-10-01,,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-11-01,,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1995-12-01,,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-01-01,0.12,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-02-01,0.16,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-03-01,0.17,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-04-01,0.17,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-05-01,0.19,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-06-01,0.17,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-07-01,0.15,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
1996-08-01,0.15,Sorghum (red),Somalia,Baidoa,RETAIL,Kg
