date,price_usd,commodity_name,country,market,price_type,unit
2007-09-01,2.75,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2007-10-01,2.85,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2007-11-01,2.48,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2007-12-01,2.57,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-01-01,3.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-02-01,3.25,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-03-01,4.07,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-04-01,4.23,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-05-01,4.25,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-06-01,4.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-07-01,4.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-08-01,4.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-09-01,3.5,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-10-01,3.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-11-01,3.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2008-12-01,3.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-01-01,2.95,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-02-01,3.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-03-01,3.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-04-01,6.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-05-01,5.32,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-06-01,5.1,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-07-01,5.1,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-08-01,4.85,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-09-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-10-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-11-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2009-12-01,5.62,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-01-01,6.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-02-01,6.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-03-01,4.75,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-04-01,5.75,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-05-01,6.5,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-06-01,6.33,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-07-01,5.2,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-08-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-09-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-10-01,4.5,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-11-01,4.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2010-12-01,4.6,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-01-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-02-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-03-01,5.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-04-01,6.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-05-01,6.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-06-01,8.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-07-01,2.8,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-08-01,3.9,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-09-01,4.87,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-10-01,3.73,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-11-01,3.22,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2011-12-01,3.55,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-01-01,3.42,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-02-01,3.28,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-03-01,3.41,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-04-01,4.6,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-05-01,4.97,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-06-01,,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-07-01,1.9,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-08-01,2.77,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-09-01,3.86,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-10-01,2.25,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-11-01,2.01,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2012-12-01,2.33,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-01-01,2.35,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-02-01,4.77,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-03-01,2.96,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-04-01,2.9,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-05-01,2.84,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-06-01,2.89,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-07-01,2.8,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-08-01,2.11,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-09-01,2.73,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-10-01,2.0,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-11-01,2.23,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2013-12-01,2.14,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-01-01,2.53,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-02-01,2.87,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-03-01,3.02,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-04-01,3.09,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-05-01,2.84,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-06-01,3.15,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-07-01,3.2,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-08-01,3.59,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-09-01,2.51,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-10-01,1.98,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-11-01,2.15,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2014-12-01,2.3,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-01-01,2.18,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-02-01,2.12,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-03-01,2.01,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-04-01,2.48,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-05-01,2.85,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-06-01,2.36,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-07-01,2.04,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-08-01,2.47,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-09-01,1.82,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-10-01,1.24,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-11-01,1.72,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2015-12-01,1.73,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
2016-01-01,2.06,"Sorghum (white, imported)",South Sudan,Aweil,RETAIL,3.5 kg
