date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2017-07-01,1.0,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.0
2017-08-01,0.87,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.87
2017-09-01,0.83,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.83
2017-10-01,0.87,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.87
2017-11-01,0.92,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.92
2017-12-01,0.97,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.97
2018-01-01,0.95,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.95
2018-02-01,0.97,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.97
2018-03-01,1.01,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.01
2018-04-01,0.95,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.95
2018-05-01,1.13,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.13
2018-06-01,1.13,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.13
2018-07-01,1.09,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.09
2018-08-01,0.9,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.9
2018-09-01,0.94,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.94
2018-10-01,0.97,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.97
2018-11-01,0.9,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.9
2018-12-01,0.87,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.87
2019-01-01,0.93,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.93
2019-02-01,0.89,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.89
2019-03-01,0.78,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.78
2019-04-01,0.75,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.75
2019-05-01,0.75,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.75
2019-06-01,0.79,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.79
2019-07-01,0.78,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.78
2019-08-01,0.84,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.84
2019-09-01,0.7,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.7
2019-10-01,0.72,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.72
2019-11-01,0.68,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.68
2019-12-01,0.73,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.73
2020-01-01,0.73,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.73
2020-02-01,0.76,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.76
2020-03-01,0.9,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.9
2020-04-01,0.86,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.86
2020-05-01,0.88,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.88
2020-06-01,1.01,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.01
2020-07-01,0.93,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.93
2020-08-01,0.82,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.82
2020-09-01,0.89,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.89
2020-10-01,1.02,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.02
2020-11-01,1.08,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.08
2020-12-01,1.04,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.04
2021-01-01,0.97,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.97
2021-02-01,0.98,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,0.98
2021-03-01,1.02,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.02
2021-04-01,1.05,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.05
2021-05-01,1.13,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.13
2021-06-01,1.2,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.2
2021-07-01,1.21,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.21
2021-08-01,1.15,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.15
2021-09-01,1.2,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.2
2021-10-01,1.1,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.1
2021-11-01,1.1,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.1
2021-12-01,1.12,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.12
2022-01-01,1.15,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.15
2022-02-01,1.21,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.21
2022-03-01,1.26,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.26
2022-04-01,1.28,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.28
2022-05-01,1.25,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.25
2022-06-01,1.34,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.34
2022-07-01,1.37,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.37
2022-08-01,1.33,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.33
2022-09-01,1.25,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.25
2022-10-01,1.33,Beans (niebe),Guinea,National Average,RETAIL,Kg,kg,1.33
