date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2006-01-01,0.55,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2125434311010777
2006-02-01,0.56,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2345896753029155
2006-03-01,0.57,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2566359195047532
2006-04-01,0.56,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2345896753029155
2006-05-01,0.56,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2345896753029155
2006-06-01,0.56,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2345896753029155
2006-07-01,0.57,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2566359195047532
2006-08-01,0.57,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2566359195047532
2006-09-01,0.57,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2566359195047532
2006-10-01,0.57,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2566359195047532
2006-11-01,0.54,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.19049718689924
2006-12-01,0.53,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.1684509426974021
2007-01-01,0.54,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.19049718689924
2007-02-01,0.54,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.19049718689924
2007-03-01,0.53,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.1684509426974021
2007-04-01,0.54,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.19049718689924
2007-05-01,0.54,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.19049718689924
2007-06-01,0.58,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2786821637065908
2007-07-01,0.6,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.3227746521102666
2007-08-01,0.63,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.3889133847157797
2007-09-01,0.68,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.4991446057249689
2007-10-01,0.85,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.873930757156211
2007-11-01,1.04,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,2.2928093969911285
2007-12-01,0.82,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.8077920245506975
2008-01-01,0.83,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.8298382687525352
2008-02-01,0.85,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.873930757156211
2008-03-01,0.84,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.851884512954373
2008-04-01,0.87,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.9180232455598865
2008-05-01,0.9,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.9841619781653999
2008-06-01,1.09,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,2.403040618000318
2008-07-01,1.11,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,2.447133106403993
2008-08-01,1.01,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,2.2266706643856153
2008-09-01,0.9,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.9841619781653999
2008-10-01,0.85,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.873930757156211
2008-11-01,0.8,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.763699536147022
2008-12-01,0.74,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.6314220709359954
2009-01-01,0.74,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.6314220709359954
2009-02-01,0.73,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.6093758267341576
2009-03-01,0.66,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.4550521173212931
2009-04-01,0.66,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.4550521173212931
2009-05-01,0.66,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.4550521173212931
2009-06-01,0.6,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.3227746521102666
2009-07-01,0.59,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.3007284079084287
2009-08-01,0.55,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2125434311010777
2009-09-01,0.55,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.2125434311010777
2009-10-01,0.53,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.1684509426974021
2009-11-01,0.53,"Beans (red, seda)",El Salvador,San Salvador,RETAIL,Libra,kg,1.1684509426974021
