date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2005-01-01,0.61,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.61
2005-02-01,0.64,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.64
2005-03-01,0.65,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.65
2005-04-01,0.67,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.67
2005-05-01,0.67,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.67
2005-06-01,0.67,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.67
2005-07-01,0.67,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.67
2005-08-01,0.64,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.64
2005-09-01,0.65,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.65
2005-10-01,0.66,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2005-11-01,0.65,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.65
2005-12-01,0.66,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2006-01-01,0.66,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2006-02-01,0.66,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2006-03-01,0.66,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2006-04-01,0.66,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.66
2006-05-01,0.67,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.67
2006-06-01,0.7,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.7
2006-07-01,0.71,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.71
2006-08-01,0.74,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.74
2006-09-01,0.77,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.77
2006-10-01,0.78,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.78
2006-11-01,0.79,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.79
2006-12-01,0.81,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.81
2007-01-01,0.82,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.82
2007-02-01,0.83,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.83
2007-03-01,0.83,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.83
2007-04-01,0.82,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.82
2007-05-01,0.84,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.84
2007-06-01,0.96,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.96
2007-07-01,0.98,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.98
2007-08-01,0.98,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.98
2007-09-01,1.02,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.02
2007-10-01,1.11,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.11
2007-11-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2007-12-01,1.22,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.22
2008-01-01,1.21,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.21
2008-02-01,1.2,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.2
2008-03-01,1.29,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.29
2008-04-01,1.36,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.36
2008-05-01,1.4,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.4
2008-06-01,1.41,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.41
2008-07-01,1.43,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.43
2008-08-01,1.43,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.43
2008-09-01,1.43,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.43
2008-10-01,1.41,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.41
2008-11-01,1.33,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.33
2008-12-01,1.27,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.27
2009-01-01,1.27,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.27
2009-02-01,1.21,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.21
2009-03-01,1.02,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.02
2009-04-01,1.02,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.02
2009-05-01,1.02,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.02
2009-06-01,1.03,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.03
2009-07-01,1.03,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.03
2009-08-01,1.0,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.0
2009-09-01,0.98,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.98
2009-10-01,0.97,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.97
2009-11-01,0.97,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.97
2009-12-01,0.99,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.99
2010-01-01,0.99,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.99
2010-02-01,0.98,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.98
2010-03-01,0.95,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.95
2010-04-01,0.95,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.95
2010-05-01,0.97,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.97
2010-06-01,1.0,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.0
2010-07-01,1.02,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.02
2010-08-01,1.09,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.09
2010-09-01,1.12,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.12
2010-10-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2010-11-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2010-12-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2011-01-01,1.13,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.13
2011-02-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2011-03-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2011-04-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2011-05-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2011-06-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2011-07-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2011-08-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2011-09-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2011-10-01,1.13,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.13
2011-11-01,1.11,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.11
2011-12-01,1.11,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.11
2012-01-01,1.1,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.1
2012-02-01,1.09,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.09
2012-03-01,1.11,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.11
2012-04-01,1.1,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.1
2012-05-01,1.08,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.08
2012-06-01,1.04,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.04
2012-07-01,1.07,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.07
2012-08-01,1.09,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.09
2012-09-01,1.11,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.11
2012-10-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2012-11-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2012-12-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2013-01-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2013-02-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2013-03-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2013-04-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2013-05-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2013-06-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2013-07-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2013-08-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2013-09-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2013-10-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2013-11-01,1.18,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.18
2013-12-01,1.18,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.18
2014-01-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2014-02-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2014-03-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2014-04-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2014-05-01,1.15,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.15
2014-06-01,1.16,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.16
2014-07-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2014-08-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2014-09-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2014-10-01,1.17,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.17
2014-11-01,1.14,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.14
2014-12-01,1.07,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.07
2015-01-01,1.09,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.09
2015-02-01,1.07,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.07
2015-03-01,1.06,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.06
2015-04-01,1.06,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.06
2015-05-01,1.05,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.05
2015-06-01,1.06,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.06
2015-07-01,1.06,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.06
2015-08-01,1.05,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.05
2015-09-01,1.05,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.05
2015-10-01,1.07,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.07
2015-11-01,1.05,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.05
2015-12-01,1.04,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.04
2016-01-01,1.03,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.03
2016-02-01,0.98,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.98
2016-03-01,0.99,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.99
2016-04-01,1.0,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.0
2016-05-01,1.01,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.01
2016-06-01,1.01,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.01
2016-07-01,1.01,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.01
2016-08-01,1.01,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.01
2016-09-01,1.01,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.01
2016-10-01,1.01,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.01
2016-11-01,1.0,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,1.0
2016-12-01,0.99,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.99
2017-01-01,0.9,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.9
2017-02-01,0.9,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.9
2017-03-01,0.91,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.91
2017-04-01,0.91,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.91
2017-05-01,0.91,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.91
2017-06-01,0.91,Bread (high grade flour),Armenia,National Average,RETAIL,Kg,kg,0.91
