date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2017-07-01,0.53,Gari,Guinea,National Average,RETAIL,Kg,kg,0.53
2017-08-01,0.54,Gari,Guinea,National Average,RETAIL,Kg,kg,0.54
2017-09-01,0.55,Gari,Guinea,National Average,RETAIL,Kg,kg,0.55
2017-10-01,0.62,Gari,Guinea,National Average,RETAIL,Kg,kg,0.62
2017-11-01,0.67,Gari,Guinea,National Average,RETAIL,Kg,kg,0.67
2017-12-01,0.69,Gari,Guinea,National Average,RETAIL,Kg,kg,0.69
2018-01-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2018-02-01,0.69,Gari,Guinea,National Average,RETAIL,Kg,kg,0.69
2018-03-01,0.79,Gari,Guinea,National Average,RETAIL,Kg,kg,0.79
2018-04-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2018-05-01,0.83,Gari,Guinea,National Average,RETAIL,Kg,kg,0.83
2018-06-01,0.79,Gari,Guinea,National Average,RETAIL,Kg,kg,0.79
2018-07-01,0.71,Gari,Guinea,National Average,RETAIL,Kg,kg,0.71
2018-08-01,0.7,Gari,Guinea,National Average,RETAIL,Kg,kg,0.7
2018-09-01,0.67,Gari,Guinea,National Average,RETAIL,Kg,kg,0.67
2018-10-01,0.55,Gari,Guinea,National Average,RETAIL,Kg,kg,0.55
2018-11-01,0.67,Gari,Guinea,National Average,RETAIL,Kg,kg,0.67
2018-12-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2019-01-01,0.64,Gari,Guinea,National Average,RETAIL,Kg,kg,0.64
2019-02-01,0.69,Gari,Guinea,National Average,RETAIL,Kg,kg,0.69
2019-03-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2019-04-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2019-05-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2019-06-01,0.65,Gari,Guinea,National Average,RETAIL,Kg,kg,0.65
2019-07-01,0.68,Gari,Guinea,National Average,RETAIL,Kg,kg,0.68
2019-08-01,0.71,Gari,Guinea,National Average,RETAIL,Kg,kg,0.71
2019-09-01,0.71,Gari,Guinea,National Average,RETAIL,Kg,kg,0.71
2019-10-01,0.76,Gari,Guinea,National Average,RETAIL,Kg,kg,0.76
2019-11-01,0.72,Gari,Guinea,National Average,RETAIL,Kg,kg,0.72
2019-12-01,0.77,Gari,Guinea,National Average,RETAIL,Kg,kg,0.77
2020-01-01,0.77,Gari,Guinea,National Average,RETAIL,Kg,kg,0.77
2020-02-01,0.71,Gari,Guinea,National Average,RETAIL,Kg,kg,0.71
2020-03-01,0.75,Gari,Guinea,National Average,RETAIL,Kg,kg,0.75
2020-04-01,0.75,Gari,Guinea,National Average,RETAIL,Kg,kg,0.75
2020-05-01,0.76,Gari,Guinea,National Average,RETAIL,Kg,kg,0.76
2020-06-01,0.76,Gari,Guinea,National Average,RETAIL,Kg,kg,0.76
2020-07-01,0.76,Gari,Guinea,National Average,RETAIL,Kg,kg,0.76
2020-08-01,0.73,Gari,Guinea,National Average,RETAIL,Kg,kg,0.73
2020-09-01,0.71,Gari,Guinea,National Average,RETAIL,Kg,kg,0.71
2020-10-01,0.71,Gari,Guinea,National Average,RETAIL,Kg,kg,0.71
2020-11-01,0.7,Gari,Guinea,National Average,RETAIL,Kg,kg,0.7
2020-12-01,0.63,Gari,Guinea,National Average,RETAIL,Kg,kg,0.63
2021-01-01,0.63,Gari,Guinea,National Average,RETAIL,Kg,kg,0.63
2021-02-01,0.65,Gari,Guinea,National Average,RETAIL,Kg,kg,0.65
2021-03-01,0.7,Gari,Guinea,National Average,RETAIL,Kg,kg,0.7
2021-04-01,0.75,Gari,Guinea,National Average,RETAIL,Kg,kg,0.75
2021-05-01,0.75,Gari,Guinea,National Average,RETAIL,Kg,kg,0.75
2021-06-01,0.76,Gari,Guinea,National Average,RETAIL,Kg,kg,0.76
2021-07-01,0.74,Gari,Guinea,National Average,RETAIL,Kg,kg,0.74
2021-08-01,0.76,Gari,Guinea,National Average,RETAIL,Kg,kg,0.76
2021-09-01,0.74,Gari,Guinea,National Average,RETAIL,Kg,kg,0.74
2021-10-01,0.92,Gari,Guinea,National Average,RETAIL,Kg,kg,0.92
2021-11-01,0.84,Gari,Guinea,National Average,RETAIL,Kg,kg,0.84
2021-12-01,0.94,Gari,Guinea,National Average,RETAIL,Kg,kg,0.94
2022-01-01,0.67,Gari,Guinea,National Average,RETAIL,Kg,kg,0.67
2022-02-01,0.86,Gari,Guinea,National Average,RETAIL,Kg,kg,0.86
2022-03-01,0.9,Gari,Guinea,National Average,RETAIL,Kg,kg,0.9
