date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2021-01-01,2.35,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.35
2021-02-01,2.74,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.74
2021-03-01,3.83,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.83
2021-04-01,4.76,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.76
2021-05-01,4.91,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.91
2021-06-01,4.87,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.87
2021-07-01,4.31,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.31
2021-08-01,4.11,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.11
2021-09-01,4.23,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.23
2021-10-01,3.82,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.82
2021-11-01,3.03,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.03
2021-12-01,2.54,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.54
2022-01-01,2.93,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.93
2022-02-01,3.19,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.19
2022-03-01,2.96,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.96
2022-04-01,3.14,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.14
2022-05-01,2.8,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.8
2022-06-01,2.75,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.75
2022-07-01,2.87,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.87
2022-08-01,2.59,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.59
2022-09-01,2.86,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,2.86
2022-10-01,3.26,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.26
2022-11-01,3.34,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.34
2022-12-01,3.41,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.41
2023-01-01,3.63,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,3.63
2023-02-01,4.01,Green Gram (average),Sri Lanka,Colombo,RETAIL,Kg,kg,4.01
