date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2021-05-01,0.35,Onions,Egypt,National Average,RETAIL,Kg,kg,0.35
2021-06-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2021-07-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2021-08-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2021-09-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2021-10-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2021-11-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2021-12-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2022-01-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2022-02-01,0.3,Onions,Egypt,National Average,RETAIL,Kg,kg,0.3
2022-03-01,,Onions,Egypt,National Average,RETAIL,Kg,kg,
2022-04-01,0.26,Onions,Egypt,National Average,RETAIL,Kg,kg,0.26
2022-05-01,0.25,Onions,Egypt,National Average,RETAIL,Kg,kg,0.25
2022-06-01,0.23,Onions,Egypt,National Average,RETAIL,Kg,kg,0.23
2022-07-01,0.22,Onions,Egypt,National Average,RETAIL,Kg,kg,0.22
2022-08-01,0.22,Onions,Egypt,National Average,RETAIL,Kg,kg,0.22
2022-09-01,0.23,Onions,Egypt,National Average,RETAIL,Kg,kg,0.23
2022-10-01,0.26,Onions,Egypt,National Average,RETAIL,Kg,kg,0.26
2022-11-01,0.23,Onions,Egypt,National Average,RETAIL,Kg,kg,0.23
2022-12-01,0.27,Onions,Egypt,National Average,RETAIL,Kg,kg,0.27
2023-01-01,0.3,Onions,Egypt,National Average,RETAIL,Kg,kg,0.3
2023-02-01,0.34,Onions,Egypt,National Average,RETAIL,Kg,kg,0.34
2023-03-01,0.48,Onions,Egypt,National Average,RETAIL,Kg,kg,0.48
2023-04-01,0.49,Onions,Egypt,National Average,RETAIL,Kg,kg,0.49
2023-05-01,0.43,Onions,Egypt,National Average,RETAIL,Kg,kg,0.43
2023-06-01,0.5,Onions,Egypt,National Average,RETAIL,Kg,kg,0.5
2023-07-01,0.56,Onions,Egypt,National Average,RETAIL,Kg,kg,0.56
2023-08-01,0.69,Onions,Egypt,National Average,RETAIL,Kg,kg,0.69
2023-09-01,0.77,Onions,Egypt,National Average,RETAIL,Kg,kg,0.77
2023-10-01,0.83,Onions,Egypt,National Average,RETAIL,Kg,kg,0.83
2023-11-01,0.83,Onions,Egypt,National Average,RETAIL,Kg,kg,0.83
2023-12-01,1.09,Onions,Egypt,National Average,RETAIL,Kg,kg,1.09
2024-01-01,1.16,Onions,Egypt,National Average,RETAIL,Kg,kg,1.16
2024-02-01,1.0,Onions,Egypt,National Average,RETAIL,Kg,kg,1.0
2024-03-01,0.66,Onions,Egypt,National Average,RETAIL,Kg,kg,0.66
2024-04-01,0.61,Onions,Egypt,National Average,RETAIL,Kg,kg,0.61
2024-05-01,0.38,Onions,Egypt,National Average,RETAIL,Kg,kg,0.38
2024-06-01,0.32,Onions,Egypt,National Average,RETAIL,Kg,kg,0.32
2024-07-01,0.28,Onions,Egypt,National Average,RETAIL,Kg,kg,0.28
2024-08-01,0.27,Onions,Egypt,National Average,RETAIL,Kg,kg,0.27
2024-09-01,0.28,Onions,Egypt,National Average,RETAIL,Kg,kg,0.28
2024-10-01,0.33,Onions,Egypt,National Average,RETAIL,Kg,kg,0.33
2024-11-01,0.4,Onions,Egypt,National Average,RETAIL,Kg,kg,0.4
2024-12-01,0.39,Onions,Egypt,National Average,RETAIL,Kg,kg,0.39
2025-01-01,0.4,Onions,Egypt,National Average,RETAIL,Kg,kg,0.4
2025-02-01,0.37,Onions,Egypt,National Average,RETAIL,Kg,kg,0.37
2025-03-01,0.38,Onions,Egypt,National Average,RETAIL,Kg,kg,0.38
2025-04-01,0.4,Onions,Egypt,National Average,RETAIL,Kg,kg,0.4
2025-05-01,0.34,Onions,Egypt,National Average,RETAIL,Kg,kg,0.34
2025-06-01,0.3,Onions,Egypt,National Average,RETAIL,Kg,kg,0.3
2025-07-01,0.32,Onions,Egypt,National Average,RETAIL,Kg,kg,0.32
2025-08-01,0.32,Onions,Egypt,National Average,RETAIL,Kg,kg,0.32
2025-09-01,0.32,Onions,Egypt,National Average,RETAIL,Kg,kg,0.32
2014-01-01,0.27,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.27
2014-02-01,0.2,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.2
2014-03-01,0.22,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.22
2014-04-01,0.22,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.22
2014-05-01,0.23,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.23
2014-06-01,0.34,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.34
2014-07-01,0.45,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.45
2014-08-01,0.42,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.42
2014-09-01,0.4,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.4
2014-10-01,0.39,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.39
2014-11-01,0.4,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.4
2014-12-01,0.39,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.39
2015-01-01,0.39,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.39
2015-02-01,0.39,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.39
2015-03-01,0.41,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.41
2015-04-01,0.37,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.37
2015-05-01,0.34,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.34
2015-06-01,0.37,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.37
2015-07-01,0.43,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.43
2015-08-01,0.67,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.67
2015-09-01,0.78,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.78
2015-10-01,0.55,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.55
2015-11-01,0.49,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.49
2015-12-01,0.44,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.44
2016-01-01,0.36,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.36
2016-02-01,0.27,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.27
2016-03-01,0.24,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.24
2016-04-01,0.22,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.22
2016-05-01,0.21,Onions,India,Andhra Pradesh,RETAIL,Kg,kg,0.21
