date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-08-01,2.04,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.04
2022-09-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,
2022-10-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,
2022-11-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,
2022-12-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,
2023-01-01,2.42,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.42
2023-02-01,2.48,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.48
2023-03-01,2.42,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.42
2023-04-01,2.43,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.43
2023-05-01,2.48,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.48
2023-06-01,2.55,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.55
2023-07-01,2.41,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.41
2023-08-01,1.99,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,1.99
2023-09-01,1.99,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,1.99
2023-10-01,1.99,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,1.99
2023-11-01,2.01,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.01
2023-12-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-01-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-02-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-03-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-04-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-05-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-06-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2024-07-01,2.32,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.32
2024-08-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.29
2024-09-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.29
2024-10-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.29
2024-11-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.29
2024-12-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.29
2025-01-01,2.28,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.28
2025-02-01,2.28,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.28
2025-03-01,2.28,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.28
2025-04-01,1.82,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,1.82
2025-05-01,2.15,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.15
2025-06-01,2.04,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.04
2025-07-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.3
2025-08-01,2.56,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter,liter,2.56
2022-08-01,2.02,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.02
2022-09-01,,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,
2022-10-01,,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,
2022-11-01,,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,
2022-12-01,,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,
2023-01-01,2.47,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.47
2023-02-01,2.47,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.47
2023-03-01,2.48,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.48
2023-04-01,2.49,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.49
2023-05-01,2.38,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.38
2023-06-01,2.51,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.51
2023-07-01,2.49,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.49
2023-08-01,2.32,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.32
2023-09-01,2.32,Palm Oil (traditional),Guinea,Faranah,RETAIL,Liter,liter,2.32
