date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-01-01,4.86,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,4.86
2022-02-01,4.93,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,4.93
2022-03-01,4.99,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,4.99
2022-04-01,5.16,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.16
2022-05-01,5.17,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.17
2022-06-01,5.2,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.2
2022-07-01,5.28,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.28
2022-08-01,5.29,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.29
2022-09-01,5.27,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.27
2022-10-01,5.35,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.35
2022-11-01,5.4,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.4
2022-12-01,5.29,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.29
2023-01-01,5.38,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.38
2023-02-01,5.4,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.4
2023-03-01,5.39,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.39
2023-04-01,5.52,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.52
2023-05-01,5.6,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.6
2023-06-01,5.57,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.57
2023-07-01,5.52,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.52
2023-08-01,5.64,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.64
2023-09-01,5.75,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.75
2023-10-01,5.72,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.72
2023-11-01,5.79,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.79
2023-12-01,5.88,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.88
2024-01-01,5.88,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.88
2024-02-01,5.71,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.71
2024-03-01,5.65,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.65
2024-04-01,5.65,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.65
2024-05-01,5.67,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.67
2024-06-01,5.65,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.65
2024-07-01,5.69,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.69
2024-08-01,5.79,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.79
2024-09-01,5.83,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.83
2024-10-01,5.76,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.76
2024-11-01,5.65,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.65
2024-12-01,5.59,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.59
2025-01-01,5.44,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.44
2025-02-01,5.38,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.38
2025-03-01,5.46,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,5.46
2025-04-01,6.11,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.11
2025-05-01,6.19,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.19
2025-06-01,6.15,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.15
2025-07-01,6.26,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.26
2025-08-01,6.25,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.25
2025-09-01,6.37,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.37
2025-10-01,6.37,Pork meat with bones (fresh or chilled),Republic of Moldova,National Average,RETAIL,Kg,kg,6.37
