date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2009-01-01,20.46,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,2.0460000000000003
2009-02-01,20.41,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,2.041
2009-03-01,20.41,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,2.041
2009-04-01,20.34,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,2.034
2009-05-01,18.88,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.888
2009-06-01,18.49,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.8489999999999998
2009-07-01,18.11,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.811
2009-08-01,17.69,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.7690000000000001
2009-09-01,17.59,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.759
2009-10-01,17.39,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.739
2009-11-01,17.19,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.719
2009-12-01,16.63,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.6629999999999998
2010-01-01,16.5,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.65
2010-02-01,16.57,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.657
2010-03-01,16.44,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.6440000000000001
2010-04-01,16.32,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.6320000000000001
2010-05-01,16.34,"Rice (Maza, Indian)",Saudi Arabia,National Average,RETAIL,10 Kg,kg,1.634
