date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-08-01,0.79,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.79
2022-09-01,0.79,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.79
2022-10-01,0.87,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.87
2022-11-01,0.77,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.77
2022-12-01,0.8,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.8
2023-01-01,0.9,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.9
2023-02-01,0.8,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.8
2023-03-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2023-04-01,0.82,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.82
2023-05-01,0.82,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.82
2023-06-01,0.83,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.83
2023-07-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2023-08-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2023-09-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2023-10-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2023-11-01,0.82,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.82
2023-12-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-01-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-02-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-03-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-04-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-05-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-06-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-07-01,0.82,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.82
2024-08-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-09-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-10-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-11-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2024-12-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2025-01-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2025-02-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2025-03-01,0.81,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.81
2025-04-01,0.87,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.87
2025-05-01,0.87,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.87
2025-06-01,0.87,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.87
2025-07-01,0.87,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.87
2025-08-01,0.86,"Rice (imported, Thailand)",Guinea,Conakry,RETAIL,Kg,kg,0.86
2022-08-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2022-09-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2022-10-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2022-11-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2022-12-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2023-01-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2023-02-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2023-03-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2023-04-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2023-05-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2023-06-01,0.82,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.82
2023-07-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2023-08-01,0.79,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.79
2023-09-01,0.79,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.79
2023-10-01,0.79,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.79
2023-11-01,0.8,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.8
2023-12-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-01-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-02-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-03-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-04-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-05-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-06-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-07-01,0.76,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.76
2024-08-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2024-09-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2024-10-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2024-11-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2024-12-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2025-01-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2025-02-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2025-03-01,0.75,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.75
2025-04-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2025-05-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2025-06-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2025-07-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2025-08-01,0.81,"Rice (imported, Thailand)",Guinea,Faranah,RETAIL,Kg,kg,0.81
2022-08-01,0.8,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.8
2022-09-01,0.81,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.81
2022-10-01,0.81,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.81
2022-11-01,0.81,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.81
2022-12-01,0.8,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.8
2023-01-01,0.81,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.81
2023-02-01,0.92,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.92
2023-03-01,0.97,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.97
2023-04-01,0.95,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.95
2023-05-01,0.95,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.95
2023-06-01,0.96,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.96
2023-07-01,0.95,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.95
2023-08-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2023-09-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2023-10-01,0.81,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.81
2023-11-01,1.01,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.01
2023-12-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-01-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-02-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-03-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-04-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-05-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-06-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-07-01,1.01,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.01
2024-08-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-09-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-10-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-11-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2024-12-01,1.0,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,1.0
2025-01-01,0.99,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.99
2025-02-01,0.99,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.99
2025-03-01,0.99,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.99
2025-04-01,0.93,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.93
2025-05-01,0.93,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.93
2025-06-01,0.92,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.92
2025-07-01,0.92,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.92
2025-08-01,0.92,"Rice (imported, Thailand)",Guinea,N'Zérékoré,RETAIL,Kg,kg,0.92
