date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-01-01,1.8,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.8
2022-02-01,1.8,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.8
2022-03-01,1.89,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.89
2022-04-01,1.99,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.99
2022-05-01,2.12,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.12
2022-06-01,2.02,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.02
2022-07-01,1.99,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.99
2022-08-01,2.01,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.01
2022-09-01,2.01,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.01
2022-10-01,2.01,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.01
2022-11-01,2.02,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.02
2022-12-01,1.99,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.99
2023-01-01,1.99,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.99
2023-02-01,2.02,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.02
2023-03-01,2.0,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.0
2023-04-01,2.0,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.0
2023-05-01,1.93,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.93
2023-06-01,1.89,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.89
2023-07-01,1.87,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.87
2023-08-01,1.86,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.86
2023-09-01,1.8,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.8
2023-10-01,1.74,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.74
2023-11-01,1.72,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.72
2023-12-01,1.73,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.73
2024-01-01,1.73,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.73
2024-02-01,1.72,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.72
2024-03-01,1.7,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.7
2024-04-01,1.69,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.69
2024-05-01,1.69,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.69
2024-06-01,1.68,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.68
2024-07-01,1.69,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.69
2024-08-01,1.77,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.77
2024-09-01,1.78,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.78
2024-10-01,1.75,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.75
2024-11-01,1.75,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.75
2024-12-01,1.75,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.75
2025-01-01,1.72,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.72
2025-02-01,1.72,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.72
2025-03-01,1.81,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.81
2025-04-01,1.93,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.93
2025-05-01,1.96,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.96
2025-06-01,1.94,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.94
2025-07-01,1.98,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,1.98
2025-08-01,2.01,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.01
2025-09-01,2.03,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.03
2025-10-01,2.03,Sunflower oil (unrefined),Republic of Moldova,National Average,RETAIL,Liter,liter,2.03
