date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2013-04-01,2.9,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.9
2013-05-01,3.05,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,3.05
2013-06-01,2.84,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.84
2013-07-01,2.34,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.34
2013-08-01,2.67,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.67
2013-09-01,2.27,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.27
2013-10-01,2.63,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.63
2013-11-01,2.68,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.68
2013-12-01,2.57,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.57
2014-01-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-02-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-03-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-04-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-05-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-06-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-07-01,,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,
2014-08-01,2.15,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.15
2014-09-01,2.13,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.13
2014-10-01,1.88,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.88
2014-11-01,1.75,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.75
2014-12-01,2.24,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.24
2015-01-01,1.56,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.56
2015-02-01,2.05,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.05
2015-03-01,1.67,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.67
2015-04-01,2.03,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,2.03
2015-05-01,1.37,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.37
2015-06-01,1.69,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.69
2015-07-01,1.61,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.61
2015-08-01,1.5,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.5
2015-09-01,1.25,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.25
2015-10-01,1.07,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.07
2015-11-01,1.31,Vegetable Oil,South Sudan,Bor,RETAIL,Liter,liter,1.31
