date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2012-01-01,0.51,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.51
2012-02-01,0.51,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.51
2012-03-01,0.51,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.51
2012-04-01,0.52,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.52
2012-05-01,0.51,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.51
2012-06-01,0.5,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.5
2012-07-01,0.49,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.49
2012-08-01,0.49,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.49
2012-09-01,0.49,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.49
2012-10-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2012-11-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2012-12-01,0.45,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.45
2013-01-01,0.49,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.49
2013-02-01,0.5,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.5
2013-03-01,0.5,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.5
2013-04-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2013-05-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2013-06-01,0.46,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.46
2013-07-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2013-08-01,0.46,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.46
2013-09-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2013-10-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2013-11-01,0.46,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.46
2013-12-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2014-01-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2014-02-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2014-03-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2014-04-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2014-05-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2014-06-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2014-07-01,0.48,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.48
2014-08-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2014-09-01,0.47,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.47
2014-10-01,0.46,"Wheat (flour, traders)",Mauritius,National Average,RETAIL,Kg,kg,0.46
