date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,253.25,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.25325
2000-02-01,256.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2565
2000-03-01,241.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.241
2000-04-01,234.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2345
2000-05-01,226.25,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.22625
2000-06-01,223.8,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2238
2000-07-01,219.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2195
2000-08-01,214.25,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.21425
2000-09-01,198.4,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1984
2000-10-01,206.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.206
2000-11-01,192.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1925
2000-12-01,190.6,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1906
2001-01-01,191.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1915
2001-02-01,191.67,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.19166999999999998
2001-03-01,174.6,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1746
2001-04-01,170.75,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.17075
2001-05-01,175.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1755
2001-06-01,183.4,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1834
2001-07-01,202.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.202
2001-08-01,209.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.209
2001-09-01,223.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.223
2001-10-01,217.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.217
2001-11-01,200.0,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2
2001-12-01,188.5,Rice (Parboiled 100%),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1885
