date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1989-01-01,269.6,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2696
1989-02-01,276.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.27625
1989-03-01,280.67,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.28067000000000003
1989-04-01,300.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.30025
1989-05-01,319.6,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3196
1989-06-01,347.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3475
1989-07-01,355.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.35575
1989-08-01,331.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.33125
1989-09-01,326.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.326
1989-10-01,296.4,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2964
1989-11-01,277.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2775
1989-12-01,280.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2805
1990-01-01,284.6,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2846
1990-02-01,306.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.30675
1990-03-01,291.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.291
1990-04-01,276.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2765
1990-05-01,265.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.265
1990-06-01,264.33,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.26433
1990-07-01,272.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.272
1990-08-01,269.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.269
1990-09-01,266.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.266
1990-10-01,281.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.28175
1990-11-01,281.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.281
1990-12-01,271.67,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.27167
1991-01-01,296.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.29625
1991-02-01,328.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.328
1991-03-01,324.33,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.32433
1991-04-01,295.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2955
1991-05-01,299.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.29925
1991-06-01,304.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3045
1991-07-01,312.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.312
1991-08-01,308.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.308
1991-09-01,300.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3005
1991-10-01,284.4,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2844
1991-11-01,282.33,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.28232999999999997
1991-12-01,275.67,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.27567
1992-01-01,286.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.28675
1992-02-01,287.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2875
1992-03-01,288.4,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2884
1992-04-01,286.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.286
1992-05-01,281.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2815
1992-06-01,279.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.279
1992-07-01,292.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2925
1992-08-01,280.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.28075
1992-09-01,266.6,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2666
1992-10-01,258.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.258
1992-11-01,260.67,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.26067
1992-12-01,264.67,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.26467
1993-01-01,269.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2695
1993-02-01,265.67,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.26567
1993-03-01,244.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2445
1993-04-01,217.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.217
1993-05-01,199.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.1995
1993-06-01,201.6,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2016
1993-07-01,210.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2105
1993-08-01,217.4,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2174
1993-09-01,220.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2205
1993-10-01,277.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.27725
1993-11-01,334.4,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3344
1993-12-01,348.33,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.34833
1994-01-01,382.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.38275
1994-02-01,381.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.38125
1994-03-01,318.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.31875
1994-04-01,310.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.31025
1994-05-01,242.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.242
1994-06-01,227.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.227
1994-07-01,242.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2425
1994-08-01,260.6,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2606
1994-09-01,273.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.27325
1994-10-01,275.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.275
1994-11-01,274.8,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2748
1994-12-01,273.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.273
1995-01-01,291.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.291
1995-02-01,290.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.29025
1995-03-01,295.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2955
1995-04-01,291.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.2915
1995-05-01,312.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.312
1995-06-01,345.25,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.34525
1995-07-01,363.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.36375
1995-08-01,355.4,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3554
1995-09-01,379.5,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.3795
1995-10-01,395.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.395
1995-11-01,357.0,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.357
1995-12-01,353.75,Rice (Thai 100% B white),INTERNATIONAL PRICES,Thailand (Bangkok),EXPORT,tonne,kg,0.35375
