date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,272.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.272
2000-02-01,275.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.275
2000-03-01,270.6,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2706
2000-04-01,258.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.258
2000-05-01,256.75,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.25675
2000-06-01,253.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.253
2000-07-01,257.75,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.25775
2000-08-01,260.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.26025
2000-09-01,268.2,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2682
2000-10-01,291.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.291
2000-11-01,294.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.294
2000-12-01,293.4,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2934
2001-01-01,291.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.291
2001-02-01,291.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.291
2001-03-01,291.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.291
2001-04-01,270.75,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.27075
2001-05-01,264.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.264
2001-06-01,281.6,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2816
2001-07-01,280.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.28
2001-08-01,268.2,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2682
2001-09-01,245.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2455
2001-10-01,236.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.236
2001-11-01,230.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.23
2001-12-01,213.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2135
2002-01-01,208.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.208
2002-02-01,202.67,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.20267
2002-03-01,202.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.20225
2002-04-01,199.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.19925
2002-05-01,201.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.201
2002-06-01,202.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.202
2002-07-01,202.75,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.20275
2002-08-01,209.8,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.20980000000000001
2002-09-01,215.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.215
2002-10-01,215.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.215
2002-11-01,215.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.215
2002-12-01,215.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.215
2003-01-01,203.8,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2038
2003-02-01,200.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2
2003-03-01,212.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.21225
2003-04-01,250.67,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.25067
2003-05-01,286.8,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.2868
2003-06-01,287.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.28725
2003-07-01,288.75,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.28875
2003-08-01,305.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.30525
2003-09-01,332.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.3325
2003-10-01,347.6,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.3476
2003-11-01,336.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.3365
2003-12-01,353.67,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.35367000000000004
2004-01-01,357.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.357
2004-02-01,354.75,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.35475
2004-03-01,397.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.39725
2004-04-01,407.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.407
2004-05-01,420.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.4205
2004-06-01,429.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.429
2004-07-01,412.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.4125
2004-08-01,352.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.352
2004-09-01,341.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.341
2004-10-01,335.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.335
2004-11-01,332.25,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.33225
2004-12-01,328.5,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.3285
2005-01-01,335.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.335
2005-02-01,329.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.329
2005-03-01,323.67,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.32367
2005-04-01,321.0,"Rice (US No. 2, 4% Long Grain)",INTERNATIONAL PRICES,United States of America,EXPORT,tonne,kg,0.321
